Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Balance of Trade,1990-03-31T00:00:00,2494,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1990-06-30T00:00:00,1507,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1990-09-30T00:00:00,2951,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1990-12-31T00:00:00,3685,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1991-03-31T00:00:00,2017,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1991-06-30T00:00:00,998,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1991-09-30T00:00:00,803,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1991-12-31T00:00:00,1019,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1992-03-31T00:00:00,256,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1992-06-30T00:00:00,244,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1992-09-30T00:00:00,421,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1992-12-31T00:00:00,353,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1993-03-31T00:00:00,736,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1993-06-30T00:00:00,560,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1993-09-30T00:00:00,765,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1993-12-31T00:00:00,1135,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1994-03-31T00:00:00,1288,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1994-06-30T00:00:00,1839,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1994-09-30T00:00:00,2231,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1994-12-31T00:00:00,2267,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1995-03-31T00:00:00,2060,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1995-06-30T00:00:00,2102,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1995-09-30T00:00:00,1015,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1995-12-31T00:00:00,1836,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1996-03-31T00:00:00,2897,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1996-06-30T00:00:00,2674,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1996-09-30T00:00:00,3421,Quarterly,VNBCBAL,2014-08-14T09:28:00
Venezuela,Balance of Trade,1996-12-31T00:00:00,4778,Quarterly,VNBCBAL,2014-08-14T09:28:00
