Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Banks Balance Sheet,1999-07-31T00:00:00,0.01,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,1999-08-31T00:00:00,0.01,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,1999-09-30T00:00:00,0.01,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,1999-10-31T00:00:00,0.01,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,1999-11-30T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,1999-12-31T00:00:00,0.01,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2000-01-31T00:00:00,0.01,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2000-02-29T00:00:00,0.01,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2000-03-31T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2000-04-30T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2000-05-31T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2000-06-30T00:00:00,0.01,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2000-07-31T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2000-08-31T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2000-09-30T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2000-10-31T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2000-11-30T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2000-12-31T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2001-01-31T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2001-02-28T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2001-03-31T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2001-04-30T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2001-05-31T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2001-06-30T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2001-07-31T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2001-08-31T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2001-09-30T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2001-10-31T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2001-11-30T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2001-12-31T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2002-01-31T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2002-02-28T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2002-03-29T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2002-04-30T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2002-05-31T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2002-06-30T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2002-07-31T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2002-08-30T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2002-09-30T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2002-10-31T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2002-11-29T00:00:00,0.03,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2002-12-31T00:00:00,0.02,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2003-01-31T00:00:00,0.03,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2003-02-28T00:00:00,0.03,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2003-03-31T00:00:00,0.03,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2003-04-30T00:00:00,0.03,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2003-05-30T00:00:00,0.03,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2003-06-30T00:00:00,0.03,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2003-07-31T00:00:00,0.03,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2003-08-29T00:00:00,0.03,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2003-09-30T00:00:00,0.03,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
Venezuela,Banks Balance Sheet,2003-10-31T00:00:00,0.03,Monthly,VENEZUELABANBALSHE,2019-11-20T16:29:00
