Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Changes in Inventories,1998-03-31T00:00:00,872,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,1998-06-30T00:00:00,539,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,1998-09-30T00:00:00,-13,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,1998-12-31T00:00:00,-562,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,1999-03-31T00:00:00,397,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,1999-06-30T00:00:00,110,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,1999-09-30T00:00:00,443,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,1999-12-31T00:00:00,355,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2000-03-31T00:00:00,767,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2000-06-30T00:00:00,630,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2000-09-30T00:00:00,487,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2000-12-31T00:00:00,-102,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2001-03-31T00:00:00,614,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2001-06-30T00:00:00,563,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2001-09-30T00:00:00,802,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2001-12-31T00:00:00,25,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2002-03-31T00:00:00,123,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2002-06-30T00:00:00,9,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2002-09-30T00:00:00,-116,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2002-12-31T00:00:00,-432,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2003-03-31T00:00:00,-76,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2003-06-30T00:00:00,-274,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2003-09-30T00:00:00,89,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2003-12-31T00:00:00,131,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2004-03-31T00:00:00,286,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2004-06-30T00:00:00,396,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2004-09-30T00:00:00,891,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2004-12-31T00:00:00,556,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2005-03-31T00:00:00,410,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2005-06-30T00:00:00,545,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2005-09-30T00:00:00,739,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2005-12-31T00:00:00,404,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2006-03-31T00:00:00,419,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2006-06-30T00:00:00,947,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
Venezuela,Changes in Inventories,2006-09-30T00:00:00,697,Quarterly,VENEZUELACHAININV,2012-10-19T22:50:00
