Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Competitiveness Index,2007-12-31T00:00:00,3.78,Yearly,VenezuelaComInd,2015-06-12T17:19:00
Venezuela,Competitiveness Index,2008-12-31T00:00:00,3.63,Yearly,VenezuelaComInd,2015-06-12T17:19:00
Venezuela,Competitiveness Index,2009-12-31T00:00:00,3.56,Yearly,VenezuelaComInd,2015-06-12T17:19:00
Venezuela,Competitiveness Index,2010-12-31T00:00:00,3.47,Yearly,VenezuelaComInd,2015-06-12T17:19:00
Venezuela,Competitiveness Index,2011-12-31T00:00:00,3.48,Yearly,VenezuelaComInd,2015-06-12T17:19:00
Venezuela,Competitiveness Index,2012-12-31T00:00:00,3.5,Yearly,VenezuelaComInd,2015-06-12T17:19:00
Venezuela,Competitiveness Index,2013-12-31T00:00:00,3.45,Yearly,VenezuelaComInd,2015-06-12T17:19:00
Venezuela,Competitiveness Index,2014-12-31T00:00:00,3.35,Yearly,VenezuelaComInd,2015-06-12T17:19:00
Venezuela,Competitiveness Index,2015-12-31T00:00:00,3.31,Yearly,VenezuelaComInd,2015-06-12T17:19:00
Venezuela,Competitiveness Index,2016-12-31T00:00:00,3.3,Yearly,VenezuelaComInd,2015-10-01T11:48:00
Venezuela,Competitiveness Index,2017-12-31T00:00:00,45.09,Yearly,VenezuelaComInd,2018-10-18T16:44:00
Venezuela,Competitiveness Index,2018-12-31T00:00:00,43.17,Yearly,VenezuelaComInd,2018-10-18T16:30:00
Venezuela,Competitiveness Index,2019-12-31T00:00:00,41.83,Yearly,VenezuelaComInd,2019-10-09T17:47:00
