Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Consumer Spending,1998-03-31T00:00:00,5280,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,1998-06-30T00:00:00,5563,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,1998-09-30T00:00:00,5502,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,1998-12-31T00:00:00,5662,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,1999-03-31T00:00:00,5041,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,1999-06-30T00:00:00,5378,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,1999-09-30T00:00:00,5560,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,1999-12-31T00:00:00,5653,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2000-03-31T00:00:00,5274,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2000-06-30T00:00:00,5461,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2000-09-30T00:00:00,5677,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2000-12-31T00:00:00,6233,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2001-03-31T00:00:00,5604,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2001-06-30T00:00:00,5990,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2001-09-30T00:00:00,5968,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2001-12-31T00:00:00,6439,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2002-03-31T00:00:00,5577,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2002-06-30T00:00:00,5552,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2002-09-30T00:00:00,5701,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2002-12-31T00:00:00,5465,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2003-03-31T00:00:00,4886,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2003-06-30T00:00:00,5171,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2003-09-30T00:00:00,5463,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2003-12-31T00:00:00,5825,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2004-03-31T00:00:00,5656,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2004-06-30T00:00:00,5923,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2004-09-30T00:00:00,6303,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2004-12-31T00:00:00,6761,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2005-03-31T00:00:00,6427,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2005-06-30T00:00:00,6869,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2005-09-30T00:00:00,7193,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2005-12-31T00:00:00,8025,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2006-03-31T00:00:00,7327,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2006-06-30T00:00:00,7875,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2006-09-30T00:00:00,8389,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2006-12-31T00:00:00,9331,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2007-03-31T00:00:00,8645,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2007-06-30T00:00:00,9171,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2007-09-30T00:00:00,10035,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2007-12-31T00:00:00,10630,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2008-03-31T00:00:00,9364,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2008-06-30T00:00:00,10042,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2008-09-30T00:00:00,10544,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2008-12-31T00:00:00,10963,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2009-03-31T00:00:00,9565,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2009-06-30T00:00:00,9765,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2009-09-30T00:00:00,10081,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2009-12-31T00:00:00,10305,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2010-03-31T00:00:00,9108,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2010-06-30T00:00:00,9627,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2010-09-30T00:00:00,9895,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2010-12-31T00:00:00,10345,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2011-03-31T00:00:00,9436,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2011-06-30T00:00:00,9888,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2011-09-30T00:00:00,10328,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2011-12-31T00:00:00,10890,Quarterly,VENEZUELACONSPE,2012-09-29T03:18:00
Venezuela,Consumer Spending,2012-03-31T00:00:00,9991,Quarterly,VENEZUELACONSPE,2013-01-22T13:24:00
Venezuela,Consumer Spending,2012-06-30T00:00:00,10583,Quarterly,VENEZUELACONSPE,2013-01-22T13:24:00
Venezuela,Consumer Spending,2012-09-30T00:00:00,11137,Quarterly,VENEZUELACONSPE,2013-03-01T19:37:00
Venezuela,Consumer Spending,2012-12-31T00:00:00,11662,Quarterly,VENEZUELACONSPE,2013-06-14T19:12:00
Venezuela,Consumer Spending,2013-03-31T00:00:00,10330,Quarterly,VENEZUELACONSPE,2019-06-04T16:20:00
Venezuela,Consumer Spending,2013-06-30T00:00:00,11160,Quarterly,VENEZUELACONSPE,2013-11-30T14:07:00
Venezuela,Consumer Spending,2013-09-30T00:00:00,11613,Quarterly,VENEZUELACONSPE,2014-05-05T18:50:00
Venezuela,Consumer Spending,2013-12-31T00:00:00,12336,Quarterly,VENEZUELACONSPE,2014-08-14T20:09:00
Venezuela,Consumer Spending,2014-03-31T00:00:00,9895,Quarterly,VENEZUELACONSPE,2019-06-04T16:20:00
Venezuela,Consumer Spending,2014-06-30T00:00:00,10599,Quarterly,VENEZUELACONSPE,2019-06-04T16:20:00
Venezuela,Consumer Spending,2014-09-30T00:00:00,11427,Quarterly,VENEZUELACONSPE,2019-06-04T16:20:00
Venezuela,Consumer Spending,2014-12-31T00:00:00,11991,Quarterly,VENEZUELACONSPE,2016-01-24T19:18:00
Venezuela,Consumer Spending,2015-03-31T00:00:00,9495,Quarterly,VENEZUELACONSPE,2019-06-04T16:20:00
Venezuela,Consumer Spending,2015-06-30T00:00:00,10031,Quarterly,VENEZUELACONSPE,2019-06-04T16:20:00
Venezuela,Consumer Spending,2015-09-30T00:00:00,10252,Quarterly,VENEZUELACONSPE,2019-06-04T16:20:00
Venezuela,Consumer Spending,2015-12-31T00:00:00,10223,Quarterly,VENEZUELACONSPE,2019-06-04T16:20:00
Venezuela,Consumer Spending,2016-03-31T00:00:00,8051,Quarterly,VENEZUELACONSPE,2019-06-04T16:20:00
Venezuela,Consumer Spending,2016-06-30T00:00:00,7862,Quarterly,VENEZUELACONSPE,2019-06-04T16:20:00
Venezuela,Consumer Spending,2016-09-30T00:00:00,7898,Quarterly,VENEZUELACONSPE,2019-11-20T15:07:00
Venezuela,Consumer Spending,2016-12-31T00:00:00,8441,Quarterly,VENEZUELACONSPE,2019-06-04T16:20:00
