Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Coronavirus Recovered,2020-03-13T00:00:00,0,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-03-16T00:00:00,0,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-03-17T00:00:00,0,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-03-18T00:00:00,0,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-03-19T00:00:00,0,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-03-20T00:00:00,1,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-03-23T00:00:00,15,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-03-24T00:00:00,15,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-03-25T00:00:00,15,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-03-26T00:00:00,15,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-03-27T00:00:00,31,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-03-30T00:00:00,39,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-03-31T00:00:00,39,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-04-01T00:00:00,41,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-04-02T00:00:00,41,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-04-03T00:00:00,43,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-04-06T00:00:00,43,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-04-07T00:00:00,43,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-04-08T00:00:00,43,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-04-09T00:00:00,43,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-04-10T00:00:00,43,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-04-13T00:00:00,93,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-04-14T00:00:00,93,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-04-15T00:00:00,93,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-04-16T00:00:00,111,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-04-17T00:00:00,111,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-04-20T00:00:00,117,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-04-21T00:00:00,122,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-04-22T00:00:00,122,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-04-23T00:00:00,122,Daily,VECOVIDRT,2020-10-29T17:29:00
Venezuela,Coronavirus Recovered,2020-04-24T00:00:00,122,Daily,VECOVIDRT,2020-10-29T17:29:00
