Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Coronavirus Vaccination Rate,2021-02-17T00:00:00,0,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-02-18T00:00:00,0,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-02-19T00:00:00,0,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-02-22T00:00:00,0,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-02-23T00:00:00,0,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-02-24T00:00:00,0,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-02-25T00:00:00,0,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-02-26T00:00:00,0,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-03-01T00:00:00,0,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-03-02T00:00:00,0,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-03-03T00:00:00,0,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-03-04T00:00:00,0.04,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-03-05T00:00:00,0.04,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-03-08T00:00:00,0.04,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-03-09T00:00:00,0.04,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-03-10T00:00:00,0.04,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-03-11T00:00:00,0.04,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-03-12T00:00:00,0.04,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-03-15T00:00:00,0.04,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-03-16T00:00:00,0.04,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-03-17T00:00:00,0.04,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-03-18T00:00:00,0.04,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-03-19T00:00:00,0.04,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-03-22T00:00:00,0.04,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-03-23T00:00:00,0.04,Daily,VECOVIDVR,2021-04-20T19:08:00
Venezuela,Coronavirus Vaccination Rate,2021-03-24T00:00:00,0.04,Daily,VECOVIDVR,2021-04-20T19:08:00
