Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Corruption Rank,1995-12-31T00:00:00,38,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,1996-12-31T00:00:00,48,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,1997-12-31T00:00:00,44,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,1998-12-31T00:00:00,78,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,1999-12-31T00:00:00,75,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,2000-12-31T00:00:00,71,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,2001-12-31T00:00:00,69,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,2002-12-31T00:00:00,81,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,2003-12-31T00:00:00,100,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,2004-12-31T00:00:00,114,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,2005-12-31T00:00:00,130,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,2006-12-31T00:00:00,138,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,2007-12-31T00:00:00,162,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,2008-12-31T00:00:00,158,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,2009-12-31T00:00:00,162,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,2010-12-31T00:00:00,164,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,2011-12-31T00:00:00,172,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,2012-12-31T00:00:00,165,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,2013-12-31T00:00:00,160,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,2014-12-31T00:00:00,161,Yearly,VenezuelaCorRan,2015-06-12T17:37:00
Venezuela,Corruption Rank,2015-12-31T00:00:00,158,Yearly,VenezuelaCorRan,2016-01-27T16:52:00
Venezuela,Corruption Rank,2016-12-31T00:00:00,166,Yearly,VenezuelaCorRan,2017-01-26T14:34:00
Venezuela,Corruption Rank,2017-12-31T00:00:00,169,Yearly,VenezuelaCorRan,2018-03-21T17:39:00
Venezuela,Corruption Rank,2018-12-31T00:00:00,168,Yearly,VenezuelaCorRan,2019-01-29T12:19:00
Venezuela,Corruption Rank,2019-12-31T00:00:00,173,Yearly,VenezuelaCorRan,2020-01-23T09:45:00
Venezuela,Corruption Rank,2020-12-31T00:00:00,176,Yearly,VenezuelaCorRan,2021-02-02T16:08:00
