Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Currency,2016-05-17T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-05-18T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-05-19T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-05-20T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-05-23T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-05-24T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-05-25T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-05-26T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-05-27T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-05-30T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-05-31T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-01T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-02T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-03T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-06T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-07T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-08T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-09T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-10T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-13T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-14T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-15T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-16T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-17T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-20T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-21T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-22T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-23T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-24T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-27T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-28T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-29T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
Venezuela,Currency,2016-06-30T00:00:00,0.0001,Daily,USDVES,2021-11-23T10:23:39.297
