Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Current Account,1990-03-31T00:00:00,2040,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1990-06-30T00:00:00,806,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1990-09-30T00:00:00,2438,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1990-12-31T00:00:00,2995,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1991-03-31T00:00:00,933,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1991-06-30T00:00:00,617,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1991-09-30T00:00:00,260,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1991-12-31T00:00:00,-74,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1992-03-31T00:00:00,-737,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1992-06-30T00:00:00,-1237,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1992-09-30T00:00:00,-594,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1992-12-31T00:00:00,-1185,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1993-03-31T00:00:00,-479,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1993-06-30T00:00:00,-772,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1993-09-30T00:00:00,-645,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1993-12-31T00:00:00,-97,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1994-03-31T00:00:00,-262,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1994-06-30T00:00:00,301,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1994-09-30T00:00:00,1688,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1994-12-31T00:00:00,814,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1995-03-31T00:00:00,1058,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1995-06-30T00:00:00,506,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1995-09-30T00:00:00,-115,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1995-12-31T00:00:00,565,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1996-03-31T00:00:00,1941,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1996-06-30T00:00:00,1212,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1996-09-30T00:00:00,2396,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1996-12-31T00:00:00,3365,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1997-03-31T00:00:00,1624,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1997-06-30T00:00:00,1073,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1997-09-30T00:00:00,723,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1997-12-31T00:00:00,312,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1998-03-31T00:00:00,-1563,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1998-06-30T00:00:00,-1722,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1998-09-30T00:00:00,-454,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1998-12-31T00:00:00,-693,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1999-03-31T00:00:00,-224,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1999-06-30T00:00:00,108,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1999-09-30T00:00:00,940,Quarterly,VNBPCURR,2013-03-06T11:46:00
Venezuela,Current Account,1999-12-31T00:00:00,1288,Quarterly,VNBPCURR,2013-03-06T11:46:00
