Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Current Account to GDP,1980-12-31T00:00:00,7.4,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,1981-12-31T00:00:00,5.7,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,1982-12-31T00:00:00,-4.8,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,1983-12-31T00:00:00,6,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,1984-12-31T00:00:00,8.7,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,1985-12-31T00:00:00,6.2,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,1986-12-31T00:00:00,-3.3,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,1987-12-31T00:00:00,-6.2,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,1988-12-31T00:00:00,-9.2,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,1989-12-31T00:00:00,5.5,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,1990-12-31T00:00:00,17.5,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,1991-12-31T00:00:00,3.6,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,1992-12-31T00:00:00,-6.2,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,1993-12-31T00:00:00,-3.3,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,1994-12-31T00:00:00,4.5,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,1995-12-31T00:00:00,2.8,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,1996-12-31T00:00:00,12.7,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,1997-12-31T00:00:00,4.3,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,1998-12-31T00:00:00,-4.9,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,1999-12-31T00:00:00,2.2,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,2000-12-31T00:00:00,10.1,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,2001-12-31T00:00:00,1.6,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,2002-12-31T00:00:00,8.2,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,2003-12-31T00:00:00,14.1,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,2004-12-31T00:00:00,13.8,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,2005-12-31T00:00:00,17.7,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,2006-12-31T00:00:00,14.8,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,2007-12-31T00:00:00,8.8,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,2008-12-31T00:00:00,12,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,2009-12-31T00:00:00,2.6,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,2010-12-31T00:00:00,2.2,Yearly,VENCA2GDP,2011-07-18T10:17:00
Venezuela,Current Account to GDP,2011-12-31T00:00:00,4.9,Yearly,VENCA2GDP,2019-04-15T15:08:00
Venezuela,Current Account to GDP,2012-12-31T00:00:00,0.8,Yearly,VENCA2GDP,2019-04-15T15:08:00
Venezuela,Current Account to GDP,2013-12-31T00:00:00,2,Yearly,VENCA2GDP,2019-04-15T15:08:00
Venezuela,Current Account to GDP,2014-12-31T00:00:00,2.3,Yearly,VENCA2GDP,2018-07-27T09:08:00
Venezuela,Current Account to GDP,2015-12-31T00:00:00,-5,Yearly,VENCA2GDP,2019-04-15T15:08:00
Venezuela,Current Account to GDP,2016-12-31T00:00:00,-1.4,Yearly,VENCA2GDP,2019-04-15T15:08:00
Venezuela,Current Account to GDP,2017-12-31T00:00:00,6.1,Yearly,VENCA2GDP,2019-04-15T15:08:00
Venezuela,Current Account to GDP,2018-12-31T00:00:00,8.8,Yearly,VENCA2GDP,2020-04-27T11:45:00
Venezuela,Current Account to GDP,2019-12-31T00:00:00,8.4,Yearly,VENCA2GDP,2021-05-21T14:24:00
Venezuela,Current Account to GDP,2020-12-31T00:00:00,-3.5,Yearly,VENCA2GDP,2021-05-21T14:24:00
