Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Ease of Doing Business,2008-12-31T00:00:00,178,Yearly,VENICBUSEASEXQ,2015-06-18T22:35:00
Venezuela,Ease of Doing Business,2009-12-31T00:00:00,177,Yearly,VENICBUSEASEXQ,2015-06-18T22:35:00
Venezuela,Ease of Doing Business,2010-12-31T00:00:00,175,Yearly,VENICBUSEASEXQ,2015-06-18T22:35:00
Venezuela,Ease of Doing Business,2011-12-31T00:00:00,177,Yearly,VENICBUSEASEXQ,2015-06-18T22:35:00
Venezuela,Ease of Doing Business,2012-12-31T00:00:00,180,Yearly,VENICBUSEASEXQ,2015-06-18T22:35:00
Venezuela,Ease of Doing Business,2013-12-31T00:00:00,181,Yearly,VENICBUSEASEXQ,2015-06-18T22:35:00
Venezuela,Ease of Doing Business,2014-12-31T00:00:00,184,Yearly,VENICBUSEASEXQ,2015-10-28T13:56:00
Venezuela,Ease of Doing Business,2015-12-31T00:00:00,185,Yearly,VENICBUSEASEXQ,2016-11-02T09:40:00
Venezuela,Ease of Doing Business,2016-12-31T00:00:00,187,Yearly,VENICBUSEASEXQ,2016-11-02T09:40:00
Venezuela,Ease of Doing Business,2017-12-31T00:00:00,188,Yearly,VENICBUSEASEXQ,2017-10-31T17:52:00
Venezuela,Ease of Doing Business,2018-12-31T00:00:00,188,Yearly,VENICBUSEASEXQ,2018-11-05T12:15:00
Venezuela,Ease of Doing Business,2019-12-31T00:00:00,188,Yearly,VENICBUSEASEXQ,2019-11-11T17:35:00
