Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Employed Persons,1999-01-31T00:00:00,8684709,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,1999-02-28T00:00:00,8633621,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,1999-03-31T00:00:00,8682484,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,1999-04-30T00:00:00,8946546,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,1999-05-31T00:00:00,8571408,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,1999-06-30T00:00:00,8611794,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,1999-07-31T00:00:00,8713723,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,1999-08-31T00:00:00,8741244,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,1999-09-30T00:00:00,8526152,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,1999-10-31T00:00:00,8799074,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,1999-11-30T00:00:00,8823052,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,1999-12-31T00:00:00,8980190,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2000-01-31T00:00:00,8586797,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2000-02-29T00:00:00,8505814,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2000-03-31T00:00:00,8551231,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2000-04-30T00:00:00,8721426,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2000-05-31T00:00:00,8781240,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2000-06-30T00:00:00,8791542,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2000-07-31T00:00:00,8712175,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2000-08-31T00:00:00,8840126,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2000-09-30T00:00:00,9063841,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2000-10-31T00:00:00,8887582,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2000-11-30T00:00:00,9150878,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2000-12-31T00:00:00,9429777,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2001-01-31T00:00:00,8799018,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2001-02-28T00:00:00,8918306,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2001-03-31T00:00:00,9001888,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2001-04-30T00:00:00,8993751,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2001-05-31T00:00:00,9436483,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2001-06-30T00:00:00,9497756,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2001-07-31T00:00:00,9597625,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2001-08-31T00:00:00,9533190,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2001-09-30T00:00:00,9586608,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2001-10-31T00:00:00,9669148,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2001-11-30T00:00:00,9853606,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2001-12-31T00:00:00,9944005,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2002-01-31T00:00:00,9419609,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
Venezuela,Employed Persons,2002-02-28T00:00:00,9666484,Monthly,VENEZUELAEMPPER,2012-09-29T03:19:00
