Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Employment Rate,1999-01-31T00:00:00,83.4,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,1999-02-28T00:00:00,84.8,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,1999-03-31T00:00:00,85.4,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,1999-04-30T00:00:00,85.4,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,1999-05-31T00:00:00,85.4,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,1999-06-30T00:00:00,85,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,1999-07-31T00:00:00,85.3,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,1999-08-31T00:00:00,85,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,1999-09-30T00:00:00,83.9,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,1999-10-31T00:00:00,84.7,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,1999-11-30T00:00:00,88,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,1999-12-31T00:00:00,89.4,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2000-01-31T00:00:00,84.2,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2000-02-29T00:00:00,84,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2000-03-31T00:00:00,85,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2000-04-30T00:00:00,85.3,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2000-05-31T00:00:00,86.2,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2000-06-30T00:00:00,85.2,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2000-07-31T00:00:00,85.3,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2000-08-31T00:00:00,85.7,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2000-09-30T00:00:00,87,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2000-10-31T00:00:00,86,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2000-11-30T00:00:00,88,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2000-12-31T00:00:00,90,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2001-01-31T00:00:00,84.2,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2001-02-28T00:00:00,85.8,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2001-03-31T00:00:00,86.3,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2001-04-30T00:00:00,85.5,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2001-05-31T00:00:00,86.9,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2001-06-30T00:00:00,86.7,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2001-07-31T00:00:00,87.2,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2001-08-31T00:00:00,86.1,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2001-09-30T00:00:00,86.5,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2001-10-31T00:00:00,87,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2001-11-30T00:00:00,88.5,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2001-12-31T00:00:00,89,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
Venezuela,Employment Rate,2002-01-31T00:00:00,83.6,Monthly,VENEZUELAEMPRAT,2015-11-20T14:28:00
