Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,External Debt,1996-01-31T00:00:00,55,Monthly,VENEZUELAEXTDEB,2012-10-19T22:25:00
Venezuela,External Debt,1996-02-29T00:00:00,122,Monthly,VENEZUELAEXTDEB,2012-10-19T22:25:00
Venezuela,External Debt,1996-03-31T00:00:00,387,Monthly,VENEZUELAEXTDEB,2012-10-19T22:25:00
Venezuela,External Debt,1996-04-30T00:00:00,410,Monthly,VENEZUELAEXTDEB,2012-10-19T22:25:00
Venezuela,External Debt,1996-05-31T00:00:00,327,Monthly,VENEZUELAEXTDEB,2012-10-19T22:25:00
Venezuela,External Debt,1996-06-30T00:00:00,387,Monthly,VENEZUELAEXTDEB,2012-10-19T22:25:00
Venezuela,External Debt,1996-07-31T00:00:00,32,Monthly,VENEZUELAEXTDEB,2012-10-19T22:25:00
Venezuela,External Debt,1996-08-31T00:00:00,140,Monthly,VENEZUELAEXTDEB,2012-10-19T22:25:00
Venezuela,External Debt,1996-09-30T00:00:00,322,Monthly,VENEZUELAEXTDEB,2012-10-19T22:25:00
Venezuela,External Debt,1996-10-31T00:00:00,321,Monthly,VENEZUELAEXTDEB,2012-10-19T22:25:00
Venezuela,External Debt,1996-11-30T00:00:00,283,Monthly,VENEZUELAEXTDEB,2012-10-19T22:25:00
Venezuela,External Debt,1996-12-31T00:00:00,348,Monthly,VENEZUELAEXTDEB,2012-10-19T22:25:00
Venezuela,External Debt,1997-01-31T00:00:00,27,Monthly,VENEZUELAEXTDEB,2012-10-19T22:25:00
Venezuela,External Debt,1997-02-28T00:00:00,128,Monthly,VENEZUELAEXTDEB,2012-10-19T22:25:00
Venezuela,External Debt,1997-03-31T00:00:00,315,Monthly,VENEZUELAEXTDEB,2012-10-19T22:25:00
Venezuela,External Debt,1997-04-30T00:00:00,300,Monthly,VENEZUELAEXTDEB,2012-10-19T22:25:00
Venezuela,External Debt,1997-05-31T00:00:00,116,Monthly,VENEZUELAEXTDEB,2012-10-19T22:25:00
Venezuela,External Debt,1997-06-30T00:00:00,282,Monthly,VENEZUELAEXTDEB,2012-10-19T22:25:00
