Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Food Inflation,2009-01-31T00:00:00,39.64,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2009-02-28T00:00:00,38.07,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2009-03-31T00:00:00,36.7,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2009-04-30T00:00:00,34.31,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2009-05-31T00:00:00,26.89,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2009-06-30T00:00:00,23.81,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2009-07-31T00:00:00,24.06,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2009-08-31T00:00:00,24.72,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2009-09-30T00:00:00,26.16,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2009-10-31T00:00:00,24.83,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2009-11-30T00:00:00,22.94,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2009-12-31T00:00:00,20.24,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2010-01-31T00:00:00,18.42,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2010-02-28T00:00:00,18.93,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2010-03-31T00:00:00,22.95,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2010-04-30T00:00:00,36.58,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2010-05-31T00:00:00,40.74,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2010-06-30T00:00:00,42.25,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2010-07-31T00:00:00,40.44,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2010-08-31T00:00:00,38.61,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2010-09-30T00:00:00,34.5,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2010-10-31T00:00:00,33.92,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2010-11-30T00:00:00,33.19,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2010-12-31T00:00:00,33.84,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2011-01-31T00:00:00,37.2,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2011-02-28T00:00:00,37.25,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2011-03-31T00:00:00,33.7,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2011-04-30T00:00:00,21.61,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2011-05-31T00:00:00,20.88,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2011-06-30T00:00:00,22.32,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2011-07-31T00:00:00,26.91,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2011-08-31T00:00:00,29.76,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2011-09-30T00:00:00,31.2,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2011-10-31T00:00:00,32.35,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2011-11-30T00:00:00,34.08,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2011-12-31T00:00:00,33.64,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2012-01-31T00:00:00,31.09,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2012-02-29T00:00:00,31.72,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2012-03-31T00:00:00,31.29,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2012-04-30T00:00:00,31.51,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2012-05-31T00:00:00,30.33,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2012-06-30T00:00:00,27.24,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2012-07-31T00:00:00,21.72,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2012-08-31T00:00:00,17.89,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2012-09-30T00:00:00,18.53,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2012-10-31T00:00:00,18.69,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2012-11-30T00:00:00,19.16,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2012-12-31T00:00:00,23.72,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2013-01-31T00:00:00,27.75,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2013-02-28T00:00:00,26.79,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2013-03-31T00:00:00,30.28,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2013-04-30T00:00:00,37,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2013-05-31T00:00:00,48.12,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2013-06-30T00:00:00,55.44,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2013-07-31T00:00:00,58.79,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2013-08-31T00:00:00,62.55,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
Venezuela,Food Inflation,2013-09-30T00:00:00,67.34,Monthly,VENEZUELAFOOINF,2014-06-19T18:11:00
