Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Gold Reserves,2000-03-31T00:00:00,311.03,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2000-06-30T00:00:00,320.05,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2000-09-30T00:00:00,320.05,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2000-12-31T00:00:00,318.5,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2001-03-31T00:00:00,328.45,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2001-06-30T00:00:00,334.05,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2001-09-30T00:00:00,337.47,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2001-12-31T00:00:00,340.27,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2002-03-31T00:00:00,353.95,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2002-06-30T00:00:00,326.58,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2002-09-30T00:00:00,324.41,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2002-12-31T00:00:00,328.45,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2003-03-31T00:00:00,331.25,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2003-06-30T00:00:00,354.27,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2003-09-30T00:00:00,334.98,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2003-12-31T00:00:00,356.75,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2004-03-31T00:00:00,356.75,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2004-06-30T00:00:00,356.75,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2004-09-30T00:00:00,357.38,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2004-12-31T00:00:00,357.38,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2005-03-31T00:00:00,357.38,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2005-06-30T00:00:00,357.38,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2005-09-30T00:00:00,357.07,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2005-12-31T00:00:00,356.75,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2006-03-31T00:00:00,356.75,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2006-06-30T00:00:00,356.75,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2006-09-30T00:00:00,356.75,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
Venezuela,Gold Reserves,2006-12-31T00:00:00,357.07,Quarterly,VENEZUELAGOLRES,2015-06-09T13:23:00
