Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Government Budget,1990-12-31T00:00:00,3.04,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,1991-12-31T00:00:00,3.79,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,1992-12-31T00:00:00,-1.89,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,1993-12-31T00:00:00,-1.28,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,1994-12-31T00:00:00,-1.09,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,1995-12-31T00:00:00,-2.26,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,1996-12-31T00:00:00,2.82,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,1997-12-31T00:00:00,3.21,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,1998-12-31T00:00:00,-3.98,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,1999-12-31T00:00:00,-1.74,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,2000-12-31T00:00:00,-1.66,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,2001-12-31T00:00:00,-4.35,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,2002-12-31T00:00:00,-3.96,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,2003-12-31T00:00:00,-4.4,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,2004-12-31T00:00:00,-1.9,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,2005-12-31T00:00:00,1.62,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,2006-12-31T00:00:00,-0.05,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,2007-12-31T00:00:00,3.06,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,2008-12-31T00:00:00,-1.2,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,2009-12-31T00:00:00,-5.09,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,2010-12-31T00:00:00,-4.02,Yearly,WBBGVENZ,2011-06-27T00:00:00
Venezuela,Government Budget,2011-12-31T00:00:00,-5.3,Yearly,WBBGVENZ,2013-03-06T12:35:00
Venezuela,Government Budget,2012-12-31T00:00:00,-15.6,Yearly,WBBGVENZ,2018-05-17T07:54:00
Venezuela,Government Budget,2013-12-31T00:00:00,-11.5,Yearly,WBBGVENZ,2014-07-09T14:10:00
Venezuela,Government Budget,2014-12-31T00:00:00,-15.6,Yearly,WBBGVENZ,2020-04-27T11:27:00
Venezuela,Government Budget,2015-12-31T00:00:00,-10.7,Yearly,WBBGVENZ,2020-04-27T11:27:00
Venezuela,Government Budget,2016-12-31T00:00:00,-10.8,Yearly,WBBGVENZ,2020-04-27T11:27:00
Venezuela,Government Budget,2017-12-31T00:00:00,-23,Yearly,WBBGVENZ,2020-04-27T11:27:00
Venezuela,Government Budget,2018-12-31T00:00:00,-29.9,Yearly,WBBGVENZ,2020-04-27T11:28:00
Venezuela,Government Budget,2019-12-31T00:00:00,-29.9,Yearly,WBBGVENZ,2020-04-27T11:28:00
