Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Imports,1992-03-31T00:00:00,2739,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1992-06-30T00:00:00,3139,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1992-09-30T00:00:00,3553,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1992-12-31T00:00:00,3283,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1993-03-31T00:00:00,2816,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1993-06-30T00:00:00,3038,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1993-09-30T00:00:00,2907,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1993-12-31T00:00:00,2629,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1994-03-31T00:00:00,1992,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1994-06-30T00:00:00,2309,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1994-09-30T00:00:00,1970,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1994-12-31T00:00:00,2209,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1995-03-31T00:00:00,2394,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1995-06-30T00:00:00,3025,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1995-09-30T00:00:00,3627,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1995-12-31T00:00:00,3023,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1996-03-31T00:00:00,2009,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1996-06-30T00:00:00,2955,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1996-09-30T00:00:00,2581,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1996-12-31T00:00:00,2392,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1997-03-31T00:00:00,2631,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1997-06-30T00:00:00,3557,Quarterly,VNIMIMPM,2014-07-29T16:42:00
Venezuela,Imports,1997-09-30T00:00:00,4201,Quarterly,VNIMIMPM,2014-07-29T16:42:00
