Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Inflation Rate,1973-01-31T00:00:00,3.22,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1973-02-28T00:00:00,3.22,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1973-03-31T00:00:00,3.54,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1973-04-30T00:00:00,3.86,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1973-05-31T00:00:00,3.52,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1973-06-30T00:00:00,3.83,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1973-07-31T00:00:00,3.83,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1973-08-31T00:00:00,4.15,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1973-09-30T00:00:00,4.42,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1973-10-31T00:00:00,4.72,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1973-11-30T00:00:00,5.35,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1973-12-31T00:00:00,5.62,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1974-01-31T00:00:00,4.99,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1974-02-28T00:00:00,5.61,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1974-03-31T00:00:00,5.59,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1974-04-30T00:00:00,5.26,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1974-05-31T00:00:00,5.26,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1974-06-30T00:00:00,5.85,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1974-07-31T00:00:00,10.15,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1974-08-31T00:00:00,11.35,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1974-09-30T00:00:00,10.87,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1974-10-31T00:00:00,11.11,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1974-11-30T00:00:00,11.04,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1974-12-31T00:00:00,11.84,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1975-01-31T00:00:00,12.17,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1975-02-28T00:00:00,12.09,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1975-03-31T00:00:00,12.65,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1975-04-30T00:00:00,13.24,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1975-05-31T00:00:00,13.53,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1975-06-30T00:00:00,13.08,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1975-07-31T00:00:00,8.94,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1975-08-31T00:00:00,8.27,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1975-09-30T00:00:00,7.36,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1975-10-31T00:00:00,7.57,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1975-11-30T00:00:00,7.8,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1975-12-31T00:00:00,7.94,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1976-01-31T00:00:00,6.61,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1976-02-29T00:00:00,7.37,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1976-03-31T00:00:00,6.79,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1976-04-30T00:00:00,6.76,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1976-05-31T00:00:00,8.03,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1976-06-30T00:00:00,7.97,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1976-07-31T00:00:00,7.95,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1976-08-31T00:00:00,7.89,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1976-09-30T00:00:00,8.88,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1976-10-31T00:00:00,8.04,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1976-11-30T00:00:00,7.73,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1976-12-31T00:00:00,6.86,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1977-01-31T00:00:00,8.69,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1977-02-28T00:00:00,8.09,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1977-03-31T00:00:00,8.07,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1977-04-30T00:00:00,8.27,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1977-05-31T00:00:00,7.43,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1977-06-30T00:00:00,7.62,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1977-07-31T00:00:00,7.84,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1977-08-31T00:00:00,7.55,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1977-09-30T00:00:00,6.99,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1977-10-31T00:00:00,7.21,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1977-11-30T00:00:00,7.42,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1977-12-31T00:00:00,8.03,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1978-01-31T00:00:00,7.99,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1978-02-28T00:00:00,7.48,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1978-03-31T00:00:00,7.47,Monthly,VNVPIYOY,2011-06-27T00:00:00
Venezuela,Inflation Rate,1978-04-30T00:00:00,6.97,Monthly,VNVPIYOY,2011-06-27T00:00:00
