Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Inflation Rate Mom,2008-01-31T00:00:00,3.1,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2008-02-29T00:00:00,2.1,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2008-03-31T00:00:00,1.7,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2008-04-30T00:00:00,1.7,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2008-05-31T00:00:00,3.2,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2008-06-30T00:00:00,2.4,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2008-07-31T00:00:00,1.9,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2008-08-31T00:00:00,1.8,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2008-09-30T00:00:00,2,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2008-10-31T00:00:00,2.4,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2008-11-30T00:00:00,2.3,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2008-12-31T00:00:00,2.6,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2009-01-31T00:00:00,2.3,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2009-02-28T00:00:00,1.3,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2009-03-31T00:00:00,1.2,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2009-04-30T00:00:00,1.8,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2009-05-31T00:00:00,2,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2009-06-30T00:00:00,1.8,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2009-07-31T00:00:00,2.1,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2009-08-31T00:00:00,2.2,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2009-09-30T00:00:00,2.5,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2009-10-31T00:00:00,1.9,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2009-11-30T00:00:00,1.9,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2009-12-31T00:00:00,1.7,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2010-01-31T00:00:00,1.7,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2010-02-28T00:00:00,1.6,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2010-03-31T00:00:00,2.4,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2010-04-30T00:00:00,5.2,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2010-05-31T00:00:00,2.6,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2010-06-30T00:00:00,1.8,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2010-07-31T00:00:00,1.4,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2010-08-31T00:00:00,1.6,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2010-09-30T00:00:00,1.1,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2010-10-31T00:00:00,1.5,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2010-11-30T00:00:00,1.5,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2010-12-31T00:00:00,1.8,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2011-01-31T00:00:00,2.7,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2011-02-28T00:00:00,1.7,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2011-03-31T00:00:00,1.4,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2011-04-30T00:00:00,1.5,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2011-05-31T00:00:00,2.5,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2011-06-30T00:00:00,2.5,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2011-07-31T00:00:00,2.7,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2011-08-31T00:00:00,2.2,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2011-09-30T00:00:00,1.6,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2011-10-31T00:00:00,1.8,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2011-11-30T00:00:00,2.2,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2011-12-31T00:00:00,1.8,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2012-01-31T00:00:00,1.5,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2012-02-29T00:00:00,1.1,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2012-03-31T00:00:00,0.9,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2012-04-30T00:00:00,0.8,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2012-05-31T00:00:00,1.6,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2012-06-30T00:00:00,1.4,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2012-07-31T00:00:00,1,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2012-08-31T00:00:00,1.1,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2012-09-30T00:00:00,1.6,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2012-10-31T00:00:00,1.7,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2012-11-30T00:00:00,2.3,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2012-12-31T00:00:00,3.5,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2013-01-31T00:00:00,3.3,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2013-02-28T00:00:00,1.6,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2013-03-31T00:00:00,2.8,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2013-04-30T00:00:00,4.3,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2013-05-31T00:00:00,6.1,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2013-06-30T00:00:00,4.7,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2013-07-31T00:00:00,3.2,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2013-08-31T00:00:00,3,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
Venezuela,Inflation Rate Mom,2013-09-30T00:00:00,4.4,Monthly,VENEZUELAINFRATMOM,2013-12-30T18:22:00
