Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Interest Rate,1998-10-01T00:00:00,64.69,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-10-02T00:00:00,60.15,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-10-06T00:00:00,58.48,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-10-07T00:00:00,60.34,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-10-08T00:00:00,59.22,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-10-09T00:00:00,59.44,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-10-13T00:00:00,55.93,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-10-14T00:00:00,55.23,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-10-15T00:00:00,53.9,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-10-16T00:00:00,51.73,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-10-19T00:00:00,49.11,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-10-20T00:00:00,48.63,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-10-21T00:00:00,50.48,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-10-22T00:00:00,52.33,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-10-23T00:00:00,47.51,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-10-26T00:00:00,44.05,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-10-27T00:00:00,31.35,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-10-28T00:00:00,46.41,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-10-29T00:00:00,47.72,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-10-30T00:00:00,47.7,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-02T00:00:00,43.49,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-03T00:00:00,44.67,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-04T00:00:00,44.74,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-05T00:00:00,45.51,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-06T00:00:00,46.13,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-09T00:00:00,46,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-10T00:00:00,46.82,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-11T00:00:00,45.89,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-12T00:00:00,45.8,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-13T00:00:00,47.95,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-16T00:00:00,45.66,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-17T00:00:00,46.64,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-18T00:00:00,47.81,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-19T00:00:00,48,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-20T00:00:00,46.31,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-23T00:00:00,46.5,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-24T00:00:00,50.06,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-25T00:00:00,46.65,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-26T00:00:00,48.03,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-27T00:00:00,49.96,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-11-30T00:00:00,47.87,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-01T00:00:00,49.76,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-02T00:00:00,50.57,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-03T00:00:00,47.68,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-04T00:00:00,53.6,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-08T00:00:00,51.06,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-09T00:00:00,49.55,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-10T00:00:00,52.66,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-11T00:00:00,47.08,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-15T00:00:00,47.94,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-16T00:00:00,47.98,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-17T00:00:00,44.59,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-18T00:00:00,48.55,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-21T00:00:00,45.16,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-22T00:00:00,44.06,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-23T00:00:00,45.04,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-24T00:00:00,50.01,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-28T00:00:00,43.93,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-29T00:00:00,41.48,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-30T00:00:00,41.78,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1998-12-31T00:00:00,47.9,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-01-04T00:00:00,43.65,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-01-05T00:00:00,39.32,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-01-06T00:00:00,45,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-01-07T00:00:00,41.87,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-01-08T00:00:00,43.28,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-01-12T00:00:00,39.76,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-01-13T00:00:00,40.59,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-01-14T00:00:00,37.73,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-01-15T00:00:00,40.03,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-01-18T00:00:00,39.06,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-01-19T00:00:00,37.25,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-01-20T00:00:00,38.48,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-01-21T00:00:00,41.63,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-01-22T00:00:00,40.32,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-01-25T00:00:00,38.69,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-01-26T00:00:00,39.66,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-01-27T00:00:00,41.54,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-01-28T00:00:00,42.32,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-01-29T00:00:00,42.15,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-02-01T00:00:00,42.09,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-02-02T00:00:00,41.47,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-02-03T00:00:00,42.99,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-02-04T00:00:00,42.79,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-02-05T00:00:00,44,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-02-08T00:00:00,42.37,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-02-09T00:00:00,39.71,Daily,VNBOACTV,2011-06-27T00:00:00
Venezuela,Interest Rate,1999-02-10T00:00:00,40.2,Daily,VNBOACTV,2011-06-27T00:00:00
