Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Internet Speed,2007-09-30T00:00:00,1110.2255,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2007-12-31T00:00:00,887.3848,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2008-03-31T00:00:00,813.3497,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2008-06-30T00:00:00,727.7518,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2008-09-30T00:00:00,831.6191,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2008-12-31T00:00:00,825.1696,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2009-03-31T00:00:00,891.9874,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2009-06-30T00:00:00,751.2697,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2009-09-30T00:00:00,646.907,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2009-12-31T00:00:00,819.6743,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2010-03-31T00:00:00,700.7448,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2010-06-30T00:00:00,713.2081,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2010-09-30T00:00:00,827.3447,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2010-12-31T00:00:00,951.3844,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2011-03-31T00:00:00,778.0712,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2011-06-30T00:00:00,805.148,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2011-09-30T00:00:00,860.1477,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2011-12-31T00:00:00,939.1813,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2012-03-31T00:00:00,919.093,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2012-06-30T00:00:00,976.0794,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2012-09-30T00:00:00,1061.2125,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2012-12-31T00:00:00,997.0077,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2013-03-31T00:00:00,1053.1674,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2013-06-30T00:00:00,1253.857,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2013-09-30T00:00:00,1482.7962,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2013-12-31T00:00:00,1487.1737,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2014-03-31T00:00:00,1268.1605,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2014-06-30T00:00:00,1383.4422,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2014-09-30T00:00:00,1324.2432,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2014-12-31T00:00:00,1437.2989,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2015-03-31T00:00:00,1499.2699,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2015-06-30T00:00:00,1805.402,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2015-09-30T00:00:00,1453.5083,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2015-12-31T00:00:00,1639.0972,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2016-03-31T00:00:00,1907.2958,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2016-06-30T00:00:00,1770.2344,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2016-09-30T00:00:00,1716.6567,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2016-12-31T00:00:00,1937.8258,Quarterly,VENKBPS,2017-10-25T17:12:00
Venezuela,Internet Speed,2017-03-31T00:00:00,1827.1017,Quarterly,VENKBPS,2017-10-25T17:12:00
