Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Minimum Wages,1989-01-31T00:00:00,4,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,1990-01-31T00:00:00,6,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,1991-01-31T00:00:00,9,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,1992-01-31T00:00:00,9,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,1993-01-31T00:00:00,15,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,1994-01-31T00:00:00,15,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,1995-01-31T00:00:00,15,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,1996-01-31T00:00:00,20,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,1997-01-31T00:00:00,75,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,1998-01-31T00:00:00,100,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,1999-01-31T00:00:00,120,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2000-01-31T00:00:00,144,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2001-01-31T00:00:00,158.4,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2002-05-31T00:00:00,190.08,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2003-07-31T00:00:00,209.088,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2003-10-31T00:00:00,247.104,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2004-05-31T00:00:00,296.524,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2004-08-31T00:00:00,321.235,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2005-05-31T00:00:00,405,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2006-05-31T00:00:00,465.75,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2006-09-30T00:00:00,512.325,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2007-05-31T00:00:00,614.79,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2008-05-31T00:00:00,1305.23,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2009-05-31T00:00:00,1484.3,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2009-09-30T00:00:00,1572.5,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2010-03-31T00:00:00,1779.25,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2010-09-30T00:00:00,1938.89,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2011-05-31T00:00:00,2243.47,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2011-09-30T00:00:00,2384.22,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2012-05-31T00:00:00,2780.45,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2012-09-30T00:00:00,3037.52,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2013-05-31T00:00:00,3634.02,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2013-09-30T00:00:00,3879.73,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2013-11-30T00:00:00,4150,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2014-01-31T00:00:00,4667.3,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2014-05-31T00:00:00,5648.4,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2014-12-31T00:00:00,6984.11,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2015-02-28T00:00:00,8097.48,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2015-05-31T00:00:00,9221.98,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2015-07-31T00:00:00,9896.68,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2015-10-31T00:00:00,16398.18,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2016-02-29T00:00:00,24852.82,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2016-04-30T00:00:00,33636.17,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2016-08-31T00:00:00,57531.17,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2016-09-01T00:00:00,65056.73,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2016-10-31T00:00:00,90812.1,Monthly,VENEZUELAMINWAG,2016-11-10T18:07:00
Venezuela,Minimum Wages,2017-01-08T00:00:00,104358,Monthly,VENEZUELAMINWAG,2017-01-09T18:49:00
Venezuela,Minimum Wages,2017-05-01T00:00:00,200021,Monthly,VENEZUELAMINWAG,2017-08-03T12:16:00
Venezuela,Minimum Wages,2017-07-01T00:00:00,250532,Monthly,VENEZUELAMINWAG,2017-08-03T12:15:00
Venezuela,Minimum Wages,2017-09-01T00:00:00,325544.18,Monthly,VENEZUELAMINWAG,2017-10-24T15:37:00
Venezuela,Minimum Wages,2017-11-01T00:00:00,456507,Monthly,VENEZUELAMINWAG,2017-11-14T16:43:00
Venezuela,Minimum Wages,2018-01-01T00:00:00,797510,Monthly,VENEZUELAMINWAG,2018-01-18T17:20:00
Venezuela,Minimum Wages,2018-03-01T00:00:00,1307646,Monthly,VENEZUELAMINWAG,2018-05-17T08:25:00
Venezuela,Minimum Wages,2018-04-30T00:00:00,2500000,Monthly,VENEZUELAMINWAG,2018-06-18T17:11:00
Venezuela,Minimum Wages,2018-06-20T00:00:00,5196000,Monthly,VENEZUELAMINWAG,2018-06-21T13:33:00
Venezuela,Minimum Wages,2018-09-01T00:00:00,1800,Monthly,VENEZUELAMINWAG,2019-11-27T11:58:00
Venezuela,Minimum Wages,2018-12-01T00:00:00,4500,Monthly,VENEZUELAMINWAG,2019-11-27T11:59:00
Venezuela,Minimum Wages,2019-01-14T00:00:00,18000,Monthly,VENEZUELAMINWAG,2019-11-27T11:59:00
Venezuela,Minimum Wages,2019-04-16T00:00:00,40000,Monthly,VENEZUELAMINWAG,2019-11-27T11:59:00
Venezuela,Minimum Wages,2019-10-01T00:00:00,150000,Monthly,VENEZUELAMINWAG,2019-11-27T11:59:00
Venezuela,Minimum Wages,2020-01-01T00:00:00,250000,Monthly,VENEZUELAMINWAG,2020-02-03T15:46:00
Venezuela,Minimum Wages,2020-05-01T00:00:00,400000,Monthly,VENEZUELAMINWAG,2020-08-04T10:44:00
