Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Money Supply M3,1976-01-31T00:00:00,0,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1976-02-29T00:00:00,0,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1976-03-31T00:00:00,0,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1976-04-30T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1976-05-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1976-06-30T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1976-07-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1976-08-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1976-09-30T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1976-10-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1976-11-30T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1976-12-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1977-01-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1977-02-28T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1977-03-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1977-04-30T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1977-05-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1977-06-30T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1977-07-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1977-08-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1977-09-30T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1977-10-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1977-11-30T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1977-12-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1978-01-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1978-02-28T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1978-03-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1978-04-30T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1978-05-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1978-06-30T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1978-07-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1978-08-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1978-09-30T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1978-10-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1978-11-30T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1978-12-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1979-01-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1979-02-28T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1979-03-31T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
Venezuela,Money Supply M3,1979-04-30T00:00:00,0.001,Monthly,VENEZUELAMONSUPM3,2018-12-04T14:24:00
