Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Population,1960-12-31T00:00:00,7.58,Yearly,VEN SP.POP.TOTL,2011-06-27T00:00:00
Venezuela,Population,1961-12-31T00:00:00,7.87,Yearly,VEN SP.POP.TOTL,2011-06-27T00:00:00
Venezuela,Population,1962-12-31T00:00:00,8.17,Yearly,VEN SP.POP.TOTL,2011-06-27T00:00:00
Venezuela,Population,1963-12-31T00:00:00,8.48,Yearly,VEN SP.POP.TOTL,2011-06-27T00:00:00
Venezuela,Population,1964-12-31T00:00:00,8.78,Yearly,VEN SP.POP.TOTL,2011-06-27T00:00:00
Venezuela,Population,1965-12-31T00:00:00,9.09,Yearly,VEN SP.POP.TOTL,2011-06-27T00:00:00
Venezuela,Population,1966-12-31T00:00:00,9.4,Yearly,VEN SP.POP.TOTL,2011-06-27T00:00:00
Venezuela,Population,1967-12-31T00:00:00,9.72,Yearly,VEN SP.POP.TOTL,2011-06-27T00:00:00
Venezuela,Population,1968-12-31T00:00:00,10.04,Yearly,VEN SP.POP.TOTL,2011-06-27T00:00:00
Venezuela,Population,1969-12-31T00:00:00,10.37,Yearly,VEN SP.POP.TOTL,2011-06-27T00:00:00
Venezuela,Population,1970-12-31T00:00:00,10.72,Yearly,VEN SP.POP.TOTL,2011-06-27T00:00:00
Venezuela,Population,1971-12-31T00:00:00,11.09,Yearly,VEN SP.POP.TOTL,2011-06-27T00:00:00
Venezuela,Population,1972-12-31T00:00:00,11.47,Yearly,VEN SP.POP.TOTL,2011-06-27T00:00:00
Venezuela,Population,1973-12-31T00:00:00,11.88,Yearly,VEN SP.POP.TOTL,2011-06-27T00:00:00
Venezuela,Population,1974-12-31T00:00:00,12.3,Yearly,VEN SP.POP.TOTL,2011-06-27T00:00:00
Venezuela,Population,1975-12-31T00:00:00,12.73,Yearly,VEN SP.POP.TOTL,2011-06-27T00:00:00
Venezuela,Population,1976-12-31T00:00:00,13.19,Yearly,VEN SP.POP.TOTL,2011-06-27T00:00:00
Venezuela,Population,1977-12-31T00:00:00,13.66,Yearly,VEN SP.POP.TOTL,2011-06-27T00:00:00
Venezuela,Population,1978-12-31T00:00:00,14.14,Yearly,VEN SP.POP.TOTL,2011-06-27T00:00:00
