Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Sales Tax Rate,2006-12-31T00:00:00,14,Yearly,VENSALESTAX,2013-09-25T16:44:00
Venezuela,Sales Tax Rate,2007-12-31T00:00:00,14,Yearly,VENSALESTAX,2013-09-25T16:44:00
Venezuela,Sales Tax Rate,2008-12-31T00:00:00,9,Yearly,VENSALESTAX,2013-09-25T16:44:00
Venezuela,Sales Tax Rate,2009-12-31T00:00:00,9,Yearly,VENSALESTAX,2013-09-25T16:44:00
Venezuela,Sales Tax Rate,2010-12-31T00:00:00,12,Yearly,VENSALESTAX,2013-09-25T16:44:00
Venezuela,Sales Tax Rate,2011-12-31T00:00:00,12,Yearly,VENSALESTAX,2013-09-25T16:44:00
Venezuela,Sales Tax Rate,2012-12-31T00:00:00,12,Yearly,VENSALESTAX,2013-09-25T16:44:00
Venezuela,Sales Tax Rate,2013-12-31T00:00:00,12,Yearly,VENSALESTAX,2013-09-25T16:44:00
Venezuela,Sales Tax Rate,2014-12-31T00:00:00,12,Yearly,VENSALESTAX,2014-03-21T17:34:00
Venezuela,Sales Tax Rate,2015-12-31T00:00:00,12,Yearly,VENSALESTAX,2015-05-11T13:20:00
Venezuela,Sales Tax Rate,2016-12-31T00:00:00,12,Yearly,VENSALESTAX,2016-11-30T17:21:00
Venezuela,Sales Tax Rate,2017-12-31T00:00:00,12,Yearly,VENSALESTAX,2018-02-06T16:20:00
Venezuela,Sales Tax Rate,2018-12-31T00:00:00,12,Yearly,VENSALESTAX,2018-02-13T16:23:00
Venezuela,Sales Tax Rate,2019-12-31T00:00:00,16,Yearly,VENSALESTAX,2020-01-28T14:47:00
Venezuela,Sales Tax Rate,2020-12-31T00:00:00,16,Yearly,VENSALESTAX,2020-01-28T14:47:00
Venezuela,Sales Tax Rate,2021-12-31T00:00:00,16,Yearly,VENSALESTAX,2021-06-02T19:08:00
