Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Social Security Rate For Companies,2004-12-31T00:00:00,17,Yearly,VENEZUELASOCSECRATFO,2014-05-14T16:11:00
Venezuela,Social Security Rate For Companies,2005-12-31T00:00:00,17,Yearly,VENEZUELASOCSECRATFO,2014-05-14T16:11:00
Venezuela,Social Security Rate For Companies,2006-12-31T00:00:00,17,Yearly,VENEZUELASOCSECRATFO,2014-05-14T16:12:00
Venezuela,Social Security Rate For Companies,2007-12-31T00:00:00,17,Yearly,VENEZUELASOCSECRATFO,2014-05-14T16:12:00
Venezuela,Social Security Rate For Companies,2008-12-31T00:00:00,17,Yearly,VENEZUELASOCSECRATFO,2014-05-14T16:12:00
Venezuela,Social Security Rate For Companies,2009-12-31T00:00:00,19,Yearly,VENEZUELASOCSECRATFO,2014-05-14T16:12:00
Venezuela,Social Security Rate For Companies,2010-12-31T00:00:00,19,Yearly,VENEZUELASOCSECRATFO,2014-05-14T16:12:00
Venezuela,Social Security Rate For Companies,2011-12-31T00:00:00,19,Yearly,VENEZUELASOCSECRATFO,2014-05-14T16:12:00
Venezuela,Social Security Rate For Companies,2012-12-31T00:00:00,19,Yearly,VENEZUELASOCSECRATFO,2014-05-14T16:12:00
Venezuela,Social Security Rate For Companies,2013-12-31T00:00:00,19,Yearly,VENEZUELASOCSECRATFO,2014-05-14T16:12:00
Venezuela,Social Security Rate For Companies,2014-12-31T00:00:00,19,Yearly,VENEZUELASOCSECRATFO,2014-05-14T16:12:00
Venezuela,Social Security Rate For Companies,2015-12-31T00:00:00,19,Yearly,VENEZUELASOCSECRATFO,2015-05-11T13:22:00
Venezuela,Social Security Rate For Companies,2016-12-31T00:00:00,19,Yearly,VENEZUELASOCSECRATFO,2017-01-11T18:19:00
Venezuela,Social Security Rate For Companies,2017-12-31T00:00:00,19,Yearly,VENEZUELASOCSECRATFO,2018-02-13T14:58:00
Venezuela,Social Security Rate For Companies,2018-12-31T00:00:00,19,Yearly,VENEZUELASOCSECRATFO,2018-02-13T14:58:00
Venezuela,Social Security Rate For Companies,2019-12-31T00:00:00,19,Yearly,VENEZUELASOCSECRATFO,2020-05-19T11:58:00
Venezuela,Social Security Rate For Companies,2020-12-31T00:00:00,19,Yearly,VENEZUELASOCSECRATFO,2021-05-21T14:05:00
Venezuela,Social Security Rate For Companies,2021-12-31T00:00:00,17,Yearly,VENEZUELASOCSECRATFO,2021-08-18T12:48:00
