Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Steel Production,1980-01-31T00:00:00,125,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1980-02-29T00:00:00,140,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1980-03-31T00:00:00,151,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1980-04-30T00:00:00,156,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1980-05-31T00:00:00,161,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1980-06-30T00:00:00,171,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1980-07-31T00:00:00,184,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1980-08-31T00:00:00,172,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1980-09-30T00:00:00,173,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1980-10-31T00:00:00,192,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1980-11-30T00:00:00,190,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1980-12-31T00:00:00,185,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1981-01-31T00:00:00,123,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1981-02-28T00:00:00,154,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1981-03-31T00:00:00,168,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1981-04-30T00:00:00,165,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1981-05-31T00:00:00,168,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1981-06-30T00:00:00,170,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1981-07-31T00:00:00,179,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1981-08-31T00:00:00,187,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1981-09-30T00:00:00,182,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1981-10-31T00:00:00,184,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1981-11-30T00:00:00,190,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1981-12-31T00:00:00,160,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1982-01-31T00:00:00,240,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1982-02-28T00:00:00,172,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1982-03-31T00:00:00,201,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1982-04-30T00:00:00,187,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1982-05-31T00:00:00,190,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1982-06-30T00:00:00,180,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1982-07-31T00:00:00,183,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1982-08-31T00:00:00,193,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1982-09-30T00:00:00,177,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1982-10-31T00:00:00,196,Monthly,VESTEEL,2016-02-16T15:48:00
Venezuela,Steel Production,1982-11-30T00:00:00,187,Monthly,VESTEEL,2016-02-16T15:48:00
