Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,CPI Transportation,2007-12-31T00:00:00,0.1,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2008-01-31T00:00:00,0.1034,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2008-02-29T00:00:00,0.1071,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2008-03-31T00:00:00,0.1098,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2008-04-30T00:00:00,0.1129,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2008-05-31T00:00:00,0.1152,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2008-06-30T00:00:00,0.1175,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2008-07-31T00:00:00,0.1199,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2008-08-31T00:00:00,0.1226,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2008-09-30T00:00:00,0.1244,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2008-10-31T00:00:00,0.1264,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2008-11-30T00:00:00,0.1288,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2008-12-31T00:00:00,0.1326,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2009-01-31T00:00:00,0.1349,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2009-02-28T00:00:00,0.1379,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2009-03-31T00:00:00,0.1404,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2009-04-30T00:00:00,0.1468,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2009-05-31T00:00:00,0.1554,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2009-06-30T00:00:00,0.1598,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2009-07-31T00:00:00,0.1635,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2009-08-31T00:00:00,0.1665,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2009-09-30T00:00:00,0.1683,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2009-10-31T00:00:00,0.1702,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2009-11-30T00:00:00,0.1719,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2009-12-31T00:00:00,0.1759,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2010-01-31T00:00:00,0.1796,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2010-02-28T00:00:00,0.1836,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2010-03-31T00:00:00,0.1865,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2010-04-30T00:00:00,0.1944,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2010-05-31T00:00:00,0.2013,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2010-06-30T00:00:00,0.2055,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2010-07-31T00:00:00,0.208,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2010-08-31T00:00:00,0.2112,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2010-09-30T00:00:00,0.2133,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2010-10-31T00:00:00,0.2158,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2010-11-30T00:00:00,0.2189,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2010-12-31T00:00:00,0.2246,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2011-01-31T00:00:00,0.2289,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2011-02-28T00:00:00,0.2359,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2011-03-31T00:00:00,0.2391,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2011-04-30T00:00:00,0.2426,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2011-05-31T00:00:00,0.2543,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2011-06-30T00:00:00,0.2631,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2011-07-31T00:00:00,0.2681,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2011-08-31T00:00:00,0.2711,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2011-09-30T00:00:00,0.2758,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2011-10-31T00:00:00,0.279,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2011-11-30T00:00:00,0.2841,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2011-12-31T00:00:00,0.2934,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2012-01-31T00:00:00,0.2952,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2012-02-29T00:00:00,0.2974,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2012-03-31T00:00:00,0.2999,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2012-04-30T00:00:00,0.3029,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2012-05-31T00:00:00,0.309,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2012-06-30T00:00:00,0.3213,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2012-07-31T00:00:00,0.3298,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2012-08-31T00:00:00,0.3353,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2012-09-30T00:00:00,0.3406,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2012-10-31T00:00:00,0.3442,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2012-11-30T00:00:00,0.3501,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2012-12-31T00:00:00,0.3618,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2013-01-31T00:00:00,0.3641,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2013-02-28T00:00:00,0.3727,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2013-03-31T00:00:00,0.3823,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2013-04-30T00:00:00,0.3982,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
Venezuela,CPI Transportation,2013-05-31T00:00:00,0.4136,Monthly,VENEZUELACPITRA,2021-03-19T11:13:00
