Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Competitiveness Rank,2007-12-31T00:00:00,85,Yearly,VenezuelaComRan,2015-06-12T17:17:00
Venezuela,Competitiveness Rank,2008-12-31T00:00:00,98,Yearly,VenezuelaComRan,2015-06-12T17:17:00
Venezuela,Competitiveness Rank,2009-12-31T00:00:00,105,Yearly,VenezuelaComRan,2015-06-12T17:17:00
Venezuela,Competitiveness Rank,2010-12-31T00:00:00,113,Yearly,VenezuelaComRan,2015-06-12T17:17:00
Venezuela,Competitiveness Rank,2011-12-31T00:00:00,122,Yearly,VenezuelaComRan,2015-06-12T17:17:00
Venezuela,Competitiveness Rank,2012-12-31T00:00:00,124,Yearly,VenezuelaComRan,2015-06-12T17:17:00
Venezuela,Competitiveness Rank,2013-12-31T00:00:00,126,Yearly,VenezuelaComRan,2015-06-12T17:17:00
Venezuela,Competitiveness Rank,2014-12-31T00:00:00,134,Yearly,VenezuelaComRan,2015-06-12T17:17:00
Venezuela,Competitiveness Rank,2015-12-31T00:00:00,131,Yearly,VenezuelaComRan,2015-06-12T17:17:00
Venezuela,Competitiveness Rank,2016-12-31T00:00:00,132,Yearly,VenezuelaComRan,2015-10-01T11:46:00
Venezuela,Competitiveness Rank,2017-12-31T00:00:00,117,Yearly,VenezuelaComRan,2018-10-18T17:02:00
Venezuela,Competitiveness Rank,2018-12-31T00:00:00,127,Yearly,VenezuelaComRan,2017-10-18T14:45:00
Venezuela,Competitiveness Rank,2019-12-31T00:00:00,133,Yearly,VenezuelaComRan,2019-10-09T17:48:00
