Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Consumer Confidence,2011-06-30T00:00:00,85,Quarterly,VENEZUELACONCON,2013-02-06T15:40:00
Venezuela,Consumer Confidence,2011-09-30T00:00:00,75,Quarterly,VENEZUELACONCON,2013-02-06T15:40:00
Venezuela,Consumer Confidence,2011-12-31T00:00:00,80,Quarterly,VENEZUELACONCON,2013-02-06T15:40:00
Venezuela,Consumer Confidence,2012-03-31T00:00:00,89,Quarterly,VENEZUELACONCON,2013-02-06T15:40:00
Venezuela,Consumer Confidence,2012-06-30T00:00:00,89,Quarterly,VENEZUELACONCON,2013-02-06T15:40:00
Venezuela,Consumer Confidence,2012-09-30T00:00:00,82,Quarterly,VENEZUELACONCON,2013-02-06T15:40:00
Venezuela,Consumer Confidence,2012-12-31T00:00:00,84,Quarterly,VENEZUELACONCON,2013-02-11T16:11:00
Venezuela,Consumer Confidence,2013-03-31T00:00:00,72,Quarterly,VENEZUELACONCON,2013-05-06T09:53:00
Venezuela,Consumer Confidence,2013-06-30T00:00:00,68,Quarterly,VENEZUELACONCON,2013-07-29T16:21:00
Venezuela,Consumer Confidence,2013-09-30T00:00:00,76,Quarterly,VENEZUELACONCON,2013-11-05T17:45:00
Venezuela,Consumer Confidence,2013-12-31T00:00:00,74,Quarterly,VENEZUELACONCON,2014-02-04T18:43:00
Venezuela,Consumer Confidence,2014-03-31T00:00:00,78,Quarterly,VENEZUELACONCON,2014-04-30T15:01:00
Venezuela,Consumer Confidence,2014-06-30T00:00:00,72,Quarterly,VENEZUELACONCON,2014-08-01T13:55:00
Venezuela,Consumer Confidence,2014-09-30T00:00:00,70,Quarterly,VENEZUELACONCON,2014-10-31T17:27:00
Venezuela,Consumer Confidence,2014-12-31T00:00:00,70,Quarterly,VENEZUELACONCON,2015-02-03T18:01:00
Venezuela,Consumer Confidence,2015-03-31T00:00:00,65,Quarterly,VENEZUELACONCON,2015-05-21T17:12:00
Venezuela,Consumer Confidence,2015-06-30T00:00:00,62,Quarterly,VENEZUELACONCON,2015-08-12T18:21:00
Venezuela,Consumer Confidence,2015-09-30T00:00:00,60,Quarterly,VENEZUELACONCON,2015-11-10T18:32:00
Venezuela,Consumer Confidence,2015-12-31T00:00:00,61,Quarterly,VENEZUELACONCON,2016-02-08T11:41:00
Venezuela,Consumer Confidence,2016-03-31T00:00:00,60,Quarterly,VENEZUELACONCON,2016-05-31T18:41:00
Venezuela,Consumer Confidence,2016-06-30T00:00:00,58,Quarterly,VENEZUELACONCON,2016-08-04T16:04:00
Venezuela,Consumer Confidence,2016-09-30T00:00:00,57,Quarterly,VENEZUELACONCON,2016-11-08T14:41:00
Venezuela,Consumer Confidence,2016-12-31T00:00:00,57,Quarterly,VENEZUELACONCON,2017-02-22T17:41:00
Venezuela,Consumer Confidence,2017-06-30T00:00:00,58,Quarterly,VENEZUELACONCON,2017-08-23T15:26:00
Venezuela,Consumer Confidence,2017-12-31T00:00:00,57,Quarterly,VENEZUELACONCON,2018-05-01T12:11:00
Venezuela,Consumer Confidence,2018-03-31T00:00:00,57,Quarterly,VENEZUELACONCON,2018-06-18T17:18:00
Venezuela,Consumer Confidence,2018-06-30T00:00:00,67,Quarterly,VENEZUELACONCON,2018-09-19T14:54:00
Venezuela,Consumer Confidence,2018-09-30T00:00:00,72,Quarterly,VENEZUELACONCON,2018-12-26T13:34:00
Venezuela,Consumer Confidence,2018-12-31T00:00:00,67,Quarterly,VENEZUELACONCON,2019-05-06T11:31:00
Venezuela,Consumer Confidence,2019-03-31T00:00:00,72,Quarterly,VENEZUELACONCON,2019-05-06T11:31:00
Venezuela,Consumer Confidence,2019-06-30T00:00:00,80,Quarterly,VENEZUELACONCON,2019-08-21T15:54:00
Venezuela,Consumer Confidence,2019-09-30T00:00:00,75,Quarterly,VENEZUELACONCON,2019-12-18T16:24:00
Venezuela,Consumer Confidence,2019-12-31T00:00:00,75,Quarterly,VENEZUELACONCON,2020-01-16T16:10:00
Venezuela,Consumer Confidence,2020-03-31T00:00:00,74,Quarterly,VENEZUELACONCON,2020-04-21T13:51:00
Venezuela,Consumer Confidence,2020-06-30T00:00:00,66,Quarterly,VENEZUELACONCON,2020-07-20T11:54:00
