Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Corruption Index,1995-12-31T00:00:00,26.6,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,1996-12-31T00:00:00,25,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,1997-12-31T00:00:00,27.7,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,1998-12-31T00:00:00,23,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,1999-12-31T00:00:00,26,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,2000-12-31T00:00:00,27,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,2001-12-31T00:00:00,28,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,2002-12-31T00:00:00,25,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,2003-12-31T00:00:00,24,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,2004-12-31T00:00:00,23,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,2005-12-31T00:00:00,23,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,2006-12-31T00:00:00,23,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,2007-12-31T00:00:00,20,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,2008-12-31T00:00:00,19,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,2009-12-31T00:00:00,19,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,2010-12-31T00:00:00,20,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,2011-12-31T00:00:00,19,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,2012-12-31T00:00:00,19,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,2013-12-31T00:00:00,20,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,2014-12-31T00:00:00,19,Yearly,VenezuelaCorInd,2015-06-12T17:30:00
Venezuela,Corruption Index,2015-12-31T00:00:00,17,Yearly,VenezuelaCorInd,2016-01-27T16:52:00
Venezuela,Corruption Index,2016-12-31T00:00:00,17,Yearly,VenezuelaCorInd,2017-02-08T14:20:00
Venezuela,Corruption Index,2017-12-31T00:00:00,18,Yearly,VenezuelaCorInd,2018-03-21T17:21:00
Venezuela,Corruption Index,2018-12-31T00:00:00,18,Yearly,VenezuelaCorInd,2019-01-29T12:28:00
Venezuela,Corruption Index,2019-12-31T00:00:00,16,Yearly,VenezuelaCorInd,2020-01-23T09:43:00
Venezuela,Corruption Index,2020-12-31T00:00:00,15,Yearly,VenezuelaCorInd,2021-02-02T14:39:00
