Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Crude Oil Production,1973-01-31T00:00:00,3272,Monthly,VENEZUELACRUOILPRO,2016-03-22T15:09:00
Venezuela,Crude Oil Production,1973-02-28T00:00:00,3309,Monthly,VENEZUELACRUOILPRO,2016-03-22T15:09:00
Venezuela,Crude Oil Production,1973-03-31T00:00:00,3330,Monthly,VENEZUELACRUOILPRO,2016-03-22T15:09:00
Venezuela,Crude Oil Production,1973-04-30T00:00:00,3360,Monthly,VENEZUELACRUOILPRO,2016-03-22T15:09:00
Venezuela,Crude Oil Production,1973-05-31T00:00:00,3426,Monthly,VENEZUELACRUOILPRO,2016-03-22T15:09:00
Venezuela,Crude Oil Production,1973-06-30T00:00:00,3383,Monthly,VENEZUELACRUOILPRO,2016-03-22T15:09:00
Venezuela,Crude Oil Production,1973-07-31T00:00:00,3391,Monthly,VENEZUELACRUOILPRO,2016-03-22T15:09:00
Venezuela,Crude Oil Production,1973-08-31T00:00:00,3396,Monthly,VENEZUELACRUOILPRO,2016-03-22T15:09:00
Venezuela,Crude Oil Production,1973-09-30T00:00:00,3406,Monthly,VENEZUELACRUOILPRO,2016-03-22T15:09:00
Venezuela,Crude Oil Production,1973-10-31T00:00:00,3381,Monthly,VENEZUELACRUOILPRO,2016-03-22T15:09:00
Venezuela,Crude Oil Production,1973-11-30T00:00:00,3395,Monthly,VENEZUELACRUOILPRO,2016-03-22T15:09:00
Venezuela,Crude Oil Production,1973-12-31T00:00:00,3340,Monthly,VENEZUELACRUOILPRO,2016-03-22T15:09:00
Venezuela,Crude Oil Production,1974-01-31T00:00:00,3284,Monthly,VENEZUELACRUOILPRO,2016-03-22T15:09:00
Venezuela,Crude Oil Production,1974-02-28T00:00:00,3230,Monthly,VENEZUELACRUOILPRO,2016-03-22T15:09:00
Venezuela,Crude Oil Production,1974-03-31T00:00:00,3189,Monthly,VENEZUELACRUOILPRO,2016-03-22T15:09:00
Venezuela,Crude Oil Production,1974-04-30T00:00:00,3053,Monthly,VENEZUELACRUOILPRO,2016-03-22T15:09:00
