Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Exports,1992-03-31T00:00:00,2995,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1992-06-30T00:00:00,3383,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1992-09-30T00:00:00,3974,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1992-12-31T00:00:00,3636,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1993-03-31T00:00:00,3552,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1993-06-30T00:00:00,3598,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1993-09-30T00:00:00,3682,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1993-12-31T00:00:00,3764,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1994-03-31T00:00:00,3280,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1994-06-30T00:00:00,4148,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1994-09-30T00:00:00,4201,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1994-12-31T00:00:00,4476,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1995-03-31T00:00:00,4454,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1995-06-30T00:00:00,5127,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1995-09-30T00:00:00,4642,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1995-12-31T00:00:00,4859,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1996-03-31T00:00:00,4906,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1996-06-30T00:00:00,5629,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1996-09-30T00:00:00,6002,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1996-12-31T00:00:00,7170,Quarterly,VNEXTOTA,2014-02-26T14:59:00
Venezuela,Exports,1997-03-31T00:00:00,5813,Quarterly,VNEXTOTA,2014-02-26T14:59:00
