Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Foreign Direct Investment,1997-03-31T00:00:00,1200,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,1997-06-30T00:00:00,1638,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,1997-09-30T00:00:00,3061,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,1997-12-31T00:00:00,303,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,1998-03-31T00:00:00,2602,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,1998-06-30T00:00:00,760,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,1998-09-30T00:00:00,241,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,1998-12-31T00:00:00,1382,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,1999-03-31T00:00:00,346,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,1999-06-30T00:00:00,884,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,1999-09-30T00:00:00,387,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,1999-12-31T00:00:00,1273,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,2000-03-31T00:00:00,554,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,2000-06-30T00:00:00,2059,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,2000-09-30T00:00:00,535,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,2000-12-31T00:00:00,1553,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,2001-03-31T00:00:00,666,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,2001-06-30T00:00:00,1042,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,2001-09-30T00:00:00,769,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,2001-12-31T00:00:00,1206,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,2002-03-31T00:00:00,90,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,2002-06-30T00:00:00,78,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
Venezuela,Foreign Direct Investment,2002-09-30T00:00:00,251,Quarterly,VENEZUELAFORDIRINV,2015-05-21T16:43:00
