Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,GDP,1960-12-31T00:00:00,7.78,Yearly,WGDPVENE,2019-07-02T11:54:00
Venezuela,GDP,1961-12-31T00:00:00,8.19,Yearly,WGDPVENE,2019-07-02T11:54:00
Venezuela,GDP,1962-12-31T00:00:00,8.95,Yearly,WGDPVENE,2019-07-02T11:54:00
Venezuela,GDP,1963-12-31T00:00:00,9.75,Yearly,WGDPVENE,2019-07-02T11:54:00
Venezuela,GDP,1964-12-31T00:00:00,8.1,Yearly,WGDPVENE,2019-07-02T11:54:00
Venezuela,GDP,1965-12-31T00:00:00,8.43,Yearly,WGDPVENE,2019-07-02T11:54:00
Venezuela,GDP,1966-12-31T00:00:00,8.78,Yearly,WGDPVENE,2019-07-02T11:54:00
Venezuela,GDP,1967-12-31T00:00:00,9.25,Yearly,WGDPVENE,2019-07-02T11:54:00
Venezuela,GDP,1968-12-31T00:00:00,10.03,Yearly,WGDPVENE,2019-07-02T11:54:00
Venezuela,GDP,1969-12-31T00:00:00,10.29,Yearly,WGDPVENE,2019-07-02T11:54:00
Venezuela,GDP,1970-12-31T00:00:00,11.56,Yearly,WGDPVENE,2019-07-02T11:54:00
Venezuela,GDP,1971-12-31T00:00:00,12.99,Yearly,WGDPVENE,2019-07-02T11:54:00
Venezuela,GDP,1972-12-31T00:00:00,13.98,Yearly,WGDPVENE,2019-07-02T11:54:00
Venezuela,GDP,1973-12-31T00:00:00,17.04,Yearly,WGDPVENE,2019-07-02T11:54:00
Venezuela,GDP,1974-12-31T00:00:00,26.1,Yearly,WGDPVENE,2019-07-02T11:54:00
Venezuela,GDP,1975-12-31T00:00:00,27.46,Yearly,WGDPVENE,2019-07-02T11:54:00
Venezuela,GDP,1976-12-31T00:00:00,31.42,Yearly,WGDPVENE,2019-07-02T11:54:00
Venezuela,GDP,1977-12-31T00:00:00,36.21,Yearly,WGDPVENE,2019-07-02T11:54:00
Venezuela,GDP,1978-12-31T00:00:00,39.32,Yearly,WGDPVENE,2019-07-02T11:54:00
Venezuela,GDP,1979-12-31T00:00:00,48.31,Yearly,WGDPVENE,2019-07-02T11:54:00
