Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,GDP Annual Growth Rate,1998-03-31T00:00:00,7.6,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,1998-06-30T00:00:00,2.7,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,1998-09-30T00:00:00,-3.5,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,1998-12-31T00:00:00,-4.7,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,1999-03-31T00:00:00,-8.9,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,1999-06-30T00:00:00,-8.7,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,1999-09-30T00:00:00,-4.3,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,1999-12-31T00:00:00,-2,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,2000-03-31T00:00:00,3.3,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,2000-06-30T00:00:00,3.6,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,2000-09-30T00:00:00,2.3,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,2000-12-31T00:00:00,5.4,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,2001-03-31T00:00:00,2.1,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,2001-06-30T00:00:00,3.7,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,2001-09-30T00:00:00,5.6,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,2001-12-31T00:00:00,2.1,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,2002-03-31T00:00:00,-4.4,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,2002-06-30T00:00:00,-8.7,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,2002-09-30T00:00:00,-5.9,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,2002-12-31T00:00:00,-15.8,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,2003-03-31T00:00:00,-26.7,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,2003-06-30T00:00:00,-5.5,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,2003-09-30T00:00:00,-6.5,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,2003-12-31T00:00:00,8,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,2004-03-31T00:00:00,36.1,Quarterly,VNGGYOY,2012-04-15T15:27:00
Venezuela,GDP Annual Growth Rate,2004-06-30T00:00:00,13.1,Quarterly,VNGGYOY,2012-04-15T15:27:00
