Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,GDP per capita,1960-12-31T00:00:00,12457.21,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1961-12-31T00:00:00,12401.87,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1962-12-31T00:00:00,12992.83,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1963-12-31T00:00:00,13037.6,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1964-12-31T00:00:00,13999.21,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1965-12-31T00:00:00,14095.76,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1966-12-31T00:00:00,13837.07,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1967-12-31T00:00:00,13766.11,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1968-12-31T00:00:00,14303.23,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1969-12-31T00:00:00,13953.15,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1970-12-31T00:00:00,14570.1,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1971-12-31T00:00:00,14345.62,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1972-12-31T00:00:00,14107.19,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1973-12-31T00:00:00,14678.24,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1974-12-31T00:00:00,14557.39,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1975-12-31T00:00:00,14555.9,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1976-12-31T00:00:00,15238.59,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1977-12-31T00:00:00,15739.38,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1978-12-31T00:00:00,15659.81,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1979-12-31T00:00:00,15345.22,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1980-12-31T00:00:00,14269.39,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1981-12-31T00:00:00,13839.09,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1982-12-31T00:00:00,13197.39,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1983-12-31T00:00:00,12371.83,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1984-12-31T00:00:00,12227.83,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1985-12-31T00:00:00,11938.23,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1986-12-31T00:00:00,12391.71,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1987-12-31T00:00:00,12511.19,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1988-12-31T00:00:00,12909.48,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1989-12-31T00:00:00,11515.18,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1990-12-31T00:00:00,11968.85,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1991-12-31T00:00:00,12830.4,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1992-12-31T00:00:00,13302.59,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1993-12-31T00:00:00,13047.76,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1994-12-31T00:00:00,12469.67,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1995-12-31T00:00:00,12692.6,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1996-12-31T00:00:00,12410.26,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1997-12-31T00:00:00,12939.58,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1998-12-31T00:00:00,12726.41,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,1999-12-31T00:00:00,11739.11,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,2000-12-31T00:00:00,11944.21,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
Venezuela,GDP per capita,2001-12-31T00:00:00,12122.12,Yearly,VENNYGDPPCAPKD,2020-07-07T10:42:00
