Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Gasoline Prices,2020-01-31T00:00:00,0,Monthly,VenezuelaGasPri,2020-06-28T17:30:00
Venezuela,Gasoline Prices,2020-02-29T00:00:00,0,Monthly,VenezuelaGasPri,2020-06-28T17:30:00
Venezuela,Gasoline Prices,2020-03-31T00:00:00,0,Monthly,VenezuelaGasPri,2020-06-28T17:30:00
Venezuela,Gasoline Prices,2020-04-30T00:00:00,0,Monthly,VenezuelaGasPri,2020-06-28T17:30:00
Venezuela,Gasoline Prices,2020-05-31T00:00:00,0,Monthly,VenezuelaGasPri,2020-06-28T17:30:00
Venezuela,Gasoline Prices,2020-06-01T00:00:00,0.02,Monthly,VenezuelaGasPri,2020-06-28T17:31:00
Venezuela,Gasoline Prices,2020-07-31T00:00:00,0.02,Monthly,VenezuelaGasPri,2020-07-30T16:34:00
Venezuela,Gasoline Prices,2020-08-31T00:00:00,0.02,Monthly,VenezuelaGasPri,2020-08-31T15:14:00
Venezuela,Gasoline Prices,2020-09-30T00:00:00,0.02,Monthly,VenezuelaGasPri,2020-09-29T21:49:00
Venezuela,Gasoline Prices,2020-10-31T00:00:00,0.02,Monthly,VenezuelaGasPri,2020-10-29T17:18:00
Venezuela,Gasoline Prices,2020-11-30T00:00:00,0.02,Monthly,VenezuelaGasPri,2020-11-29T18:08:00
Venezuela,Gasoline Prices,2020-12-31T00:00:00,0.02,Monthly,VenezuelaGasPri,2020-12-31T15:31:00
Venezuela,Gasoline Prices,2021-01-31T00:00:00,0.02,Monthly,VenezuelaGasPri,2021-01-26T17:39:00
Venezuela,Gasoline Prices,2021-02-28T00:00:00,0.02,Monthly,VenezuelaGasPri,2021-02-26T19:37:00
Venezuela,Gasoline Prices,2021-03-31T00:00:00,0.02,Monthly,VenezuelaGasPri,2021-03-30T15:09:00
Venezuela,Gasoline Prices,2021-04-30T00:00:00,0.02,Monthly,VenezuelaGasPri,2021-04-27T13:49:00
Venezuela,Gasoline Prices,2021-05-31T00:00:00,0.02,Monthly,VenezuelaGasPri,2021-05-27T20:59:00
Venezuela,Gasoline Prices,2021-06-30T00:00:00,0.02,Monthly,VenezuelaGasPri,2021-06-29T22:39:00
Venezuela,Gasoline Prices,2021-07-31T00:00:00,0.02,Monthly,VenezuelaGasPri,2021-07-28T16:40:00
Venezuela,Gasoline Prices,2021-08-31T00:00:00,0.02,Monthly,VenezuelaGasPri,2021-08-30T11:28:00
Venezuela,Gasoline Prices,2021-09-30T00:00:00,0.02,Monthly,VenezuelaGasPri,2021-09-28T17:07:00
Venezuela,Gasoline Prices,2021-10-24T00:00:00,0.02,Monthly,VenezuelaGasPri,2021-10-28T15:37:00
