Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Government Debt to GDP,1994-12-31T00:00:00,71.9,Yearly,VENDebt2GDP,2011-07-18T10:17:00
Venezuela,Government Debt to GDP,1995-12-31T00:00:00,66.9,Yearly,VENDebt2GDP,2011-07-18T10:17:00
Venezuela,Government Debt to GDP,1996-12-31T00:00:00,59.9,Yearly,VENDebt2GDP,2011-07-18T10:17:00
Venezuela,Government Debt to GDP,1997-12-31T00:00:00,40.1,Yearly,VENDebt2GDP,2011-07-18T10:17:00
Venezuela,Government Debt to GDP,1998-12-31T00:00:00,26.3,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,1999-12-31T00:00:00,24.7,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2000-12-31T00:00:00,19.1,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2001-12-31T00:00:00,19.3,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2002-12-31T00:00:00,40,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2003-12-31T00:00:00,37.9,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2004-12-31T00:00:00,28.1,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2005-12-31T00:00:00,24.5,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2006-12-31T00:00:00,16.4,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2007-12-31T00:00:00,19.1,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2008-12-31T00:00:00,15.4,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2009-12-31T00:00:00,18.9,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2010-12-31T00:00:00,25,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2011-12-31T00:00:00,31.7,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2012-12-31T00:00:00,30.1,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2013-12-31T00:00:00,33.2,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2014-12-31T00:00:00,25.1,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2015-12-31T00:00:00,11,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2016-12-31T00:00:00,5.1,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2017-12-31T00:00:00,26,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2018-12-31T00:00:00,180.8,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2019-12-31T00:00:00,232.8,Yearly,VENDebt2GDP,2021-03-23T14:53:00
Venezuela,Government Debt to GDP,2020-12-31T00:00:00,350,Yearly,VENDebt2GDP,2021-03-30T22:07:00
