Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Government Spending,1998-03-31T00:00:00,1320,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,1998-06-30T00:00:00,1312,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,1998-09-30T00:00:00,1321,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,1998-12-31T00:00:00,1550,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,1999-03-31T00:00:00,1190,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,1999-06-30T00:00:00,1069,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,1999-09-30T00:00:00,1278,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,1999-12-31T00:00:00,1553,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2000-03-31T00:00:00,1224,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2000-06-30T00:00:00,1145,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2000-09-30T00:00:00,1274,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2000-12-31T00:00:00,1661,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2001-03-31T00:00:00,1145,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2001-06-30T00:00:00,1294,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2001-09-30T00:00:00,1367,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2001-12-31T00:00:00,1865,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2002-03-31T00:00:00,1231,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2002-06-30T00:00:00,1311,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2002-09-30T00:00:00,1309,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2002-12-31T00:00:00,1679,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2003-03-31T00:00:00,1263,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2003-06-30T00:00:00,1385,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2003-09-30T00:00:00,1414,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2003-12-31T00:00:00,1783,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2004-03-31T00:00:00,1399,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2004-06-30T00:00:00,1555,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2004-09-30T00:00:00,1632,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2004-12-31T00:00:00,2090,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2005-03-31T00:00:00,1573,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2005-06-30T00:00:00,1722,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2005-09-30T00:00:00,1824,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
Venezuela,Government Spending,2005-12-31T00:00:00,2269,Quarterly,VENEZUELAGOVSPE,2012-09-29T03:20:00
