Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Gross Fixed Capital Formation,1996-03-31T00:00:00,3815.7,Quarterly,VENEZUELAGROFIXCAPFO,2013-07-19T14:19:00
Venezuela,Gross Fixed Capital Formation,1996-06-30T00:00:00,3853.4,Quarterly,VENEZUELAGROFIXCAPFO,2013-07-19T14:19:00
Venezuela,Gross Fixed Capital Formation,1996-09-30T00:00:00,3918.5,Quarterly,VENEZUELAGROFIXCAPFO,2013-07-19T14:19:00
Venezuela,Gross Fixed Capital Formation,1996-12-31T00:00:00,3970.2,Quarterly,VENEZUELAGROFIXCAPFO,2013-07-19T14:19:00
Venezuela,Gross Fixed Capital Formation,1997-03-31T00:00:00,4003.5,Quarterly,VENEZUELAGROFIXCAPFO,2013-07-19T14:19:00
Venezuela,Gross Fixed Capital Formation,1997-06-30T00:00:00,4079.6,Quarterly,VENEZUELAGROFIXCAPFO,2013-07-19T14:19:00
Venezuela,Gross Fixed Capital Formation,1997-09-30T00:00:00,4115.1,Quarterly,VENEZUELAGROFIXCAPFO,2013-07-19T14:19:00
Venezuela,Gross Fixed Capital Formation,1997-12-31T00:00:00,4142.2,Quarterly,VENEZUELAGROFIXCAPFO,2013-07-19T14:19:00
Venezuela,Gross Fixed Capital Formation,1998-03-31T00:00:00,2644,Quarterly,VENEZUELAGROFIXCAPFO,2013-09-26T13:10:00
Venezuela,Gross Fixed Capital Formation,1998-06-30T00:00:00,2971,Quarterly,VENEZUELAGROFIXCAPFO,2013-09-26T13:10:00
Venezuela,Gross Fixed Capital Formation,1998-09-30T00:00:00,2906,Quarterly,VENEZUELAGROFIXCAPFO,2019-06-04T16:12:00
Venezuela,Gross Fixed Capital Formation,1998-12-31T00:00:00,2754,Quarterly,VENEZUELAGROFIXCAPFO,2013-09-26T13:10:00
Venezuela,Gross Fixed Capital Formation,1999-03-31T00:00:00,2109,Quarterly,VENEZUELAGROFIXCAPFO,2013-09-26T13:10:00
Venezuela,Gross Fixed Capital Formation,1999-06-30T00:00:00,2471,Quarterly,VENEZUELAGROFIXCAPFO,2013-09-26T13:10:00
