Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,IP Addresses,2007-09-30T00:00:00,950807,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2007-12-31T00:00:00,1099718,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2008-03-31T00:00:00,1209700,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2008-06-30T00:00:00,1422659,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2008-09-30T00:00:00,1434257,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2008-12-31T00:00:00,1517066,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2009-03-31T00:00:00,1615975,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2009-06-30T00:00:00,1606894,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2009-09-30T00:00:00,1534009,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2009-12-31T00:00:00,1690795,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2010-03-31T00:00:00,1900855,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2010-06-30T00:00:00,2181887,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2010-09-30T00:00:00,2038153,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2010-12-31T00:00:00,2176380,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2011-03-31T00:00:00,2324068,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2011-06-30T00:00:00,2353578,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2011-09-30T00:00:00,2071500,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2011-12-31T00:00:00,2182358,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2012-03-31T00:00:00,2335262,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2012-06-30T00:00:00,2540078,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2012-09-30T00:00:00,2760444,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2012-12-31T00:00:00,2697362,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2013-03-31T00:00:00,2100976,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2013-06-30T00:00:00,2163933,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2013-09-30T00:00:00,2130405,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2013-12-31T00:00:00,2287687,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2014-03-31T00:00:00,2491133,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2014-06-30T00:00:00,2390326,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2014-09-30T00:00:00,2479613,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2014-12-31T00:00:00,2384093,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2015-03-31T00:00:00,2816018,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2015-06-30T00:00:00,2925726,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2015-09-30T00:00:00,2620758,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2015-12-31T00:00:00,2808118,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2016-03-31T00:00:00,2669982,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2016-06-30T00:00:00,2550739,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2016-09-30T00:00:00,2630850,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2016-12-31T00:00:00,2585378,Quarterly,VENIPS,2017-10-25T17:13:00
Venezuela,IP Addresses,2017-03-31T00:00:00,2571911,Quarterly,VENIPS,2017-10-25T17:13:00
