Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Military Expenditure,1955-12-31T00:00:00,0.0034,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1956-12-31T00:00:00,0.0042,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1957-12-31T00:00:00,0.0058,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1958-12-31T00:00:00,0.0061,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1959-12-31T00:00:00,0.0052,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1960-12-31T00:00:00,0.0052,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1961-12-31T00:00:00,0.0026,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1962-12-31T00:00:00,0.0046,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1963-12-31T00:00:00,0.0055,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1964-12-31T00:00:00,0.0057,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1965-12-31T00:00:00,0.0064,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1966-12-31T00:00:00,0.0066,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1967-12-31T00:00:00,0.0075,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1968-12-31T00:00:00,0.0075,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1969-12-31T00:00:00,0.0071,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1970-12-31T00:00:00,0.0071,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1971-12-31T00:00:00,0.0089,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1972-12-31T00:00:00,0.0097,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1973-12-31T00:00:00,0.0097,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1974-12-31T00:00:00,0.0128,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1975-12-31T00:00:00,0.0138,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1976-12-31T00:00:00,0.0107,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1977-12-31T00:00:00,0.0125,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1978-12-31T00:00:00,0.0129,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1979-12-31T00:00:00,0.0128,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1980-12-31T00:00:00,0.0114,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1981-12-31T00:00:00,0.0099,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1982-12-31T00:00:00,0.0136,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1983-12-31T00:00:00,0.0169,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1984-12-31T00:00:00,0.0163,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1985-12-31T00:00:00,0.0097,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1986-12-31T00:00:00,0.0114,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1987-12-31T00:00:00,0.0122,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1988-12-31T00:00:00,0.0135,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1989-12-31T00:00:00,0.019,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1990-12-31T00:00:00,0.0113,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1991-12-31T00:00:00,0.0136,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1992-12-31T00:00:00,0.0126,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1993-12-31T00:00:00,0.0157,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1994-12-31T00:00:00,0.0115,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1995-12-31T00:00:00,0.011,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1996-12-31T00:00:00,0.008,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1997-12-31T00:00:00,0.0131,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1998-12-31T00:00:00,0.0102,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,1999-12-31T00:00:00,0.0088,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,2000-12-31T00:00:00,0.0108,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,2001-12-31T00:00:00,0.011,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,2002-12-31T00:00:00,0.008,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,2003-12-31T00:00:00,0.0078,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,2004-12-31T00:00:00,0.0111,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,2005-12-31T00:00:00,0.0195,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,2006-12-31T00:00:00,0.024,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,2007-12-31T00:00:00,0.0242,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,2008-12-31T00:00:00,0.0241,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,2009-12-31T00:00:00,0.0136,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,2010-12-31T00:00:00,0.0126,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,2011-12-31T00:00:00,0.0148,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,2012-12-31T00:00:00,0.0175,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,2013-12-31T00:00:00,0.0209,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,2014-12-31T00:00:00,0.0125,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,2015-12-31T00:00:00,0.0095,Yearly,VenezuelaMil,2021-05-26T12:27:00
Venezuela,Military Expenditure,2016-12-31T00:00:00,0.0051,Yearly,VenezuelaMil,2021-05-26T12:27:00
