Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Personal Income Tax Rate,2004-12-31T00:00:00,34,Yearly,VENIRSTAX,2013-09-25T12:34:00
Venezuela,Personal Income Tax Rate,2005-12-31T00:00:00,34,Yearly,VENIRSTAX,2013-09-25T12:34:00
Venezuela,Personal Income Tax Rate,2006-12-31T00:00:00,34,Yearly,VENIRSTAX,2013-09-25T12:34:00
Venezuela,Personal Income Tax Rate,2007-12-31T00:00:00,34,Yearly,VENIRSTAX,2013-09-25T12:34:00
Venezuela,Personal Income Tax Rate,2008-12-31T00:00:00,34,Yearly,VENIRSTAX,2013-09-25T12:34:00
Venezuela,Personal Income Tax Rate,2009-12-31T00:00:00,34,Yearly,VENIRSTAX,2013-09-25T12:34:00
Venezuela,Personal Income Tax Rate,2010-12-31T00:00:00,34,Yearly,VENIRSTAX,2013-09-25T12:34:00
Venezuela,Personal Income Tax Rate,2011-12-31T00:00:00,34,Yearly,VENIRSTAX,2013-09-25T12:34:00
Venezuela,Personal Income Tax Rate,2012-12-31T00:00:00,34,Yearly,VENIRSTAX,2013-09-25T12:34:00
Venezuela,Personal Income Tax Rate,2013-12-31T00:00:00,34,Yearly,VENIRSTAX,2013-09-25T12:34:00
Venezuela,Personal Income Tax Rate,2014-12-31T00:00:00,34,Yearly,VENIRSTAX,2014-03-26T09:37:00
Venezuela,Personal Income Tax Rate,2015-12-31T00:00:00,34,Yearly,VENIRSTAX,2016-03-09T18:11:00
Venezuela,Personal Income Tax Rate,2016-12-31T00:00:00,34,Yearly,VENIRSTAX,2016-11-29T18:40:00
Venezuela,Personal Income Tax Rate,2017-12-31T00:00:00,34,Yearly,VENIRSTAX,2018-02-12T12:18:00
Venezuela,Personal Income Tax Rate,2018-12-31T00:00:00,34,Yearly,VENIRSTAX,2018-02-12T12:18:00
Venezuela,Personal Income Tax Rate,2019-12-31T00:00:00,34,Yearly,VENIRSTAX,2020-02-11T16:28:00
Venezuela,Personal Income Tax Rate,2020-12-31T00:00:00,34,Yearly,VENIRSTAX,2020-02-11T16:28:00
Venezuela,Personal Income Tax Rate,2021-12-31T00:00:00,34,Yearly,VENIRSTAX,2021-06-02T15:51:00
