Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Private Sector Credit,1999-07-31T00:00:00,5.83,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,1999-08-31T00:00:00,5.87,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,1999-09-30T00:00:00,6.01,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,1999-10-31T00:00:00,6.16,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,1999-11-30T00:00:00,6.49,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,1999-12-31T00:00:00,6.66,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2000-01-31T00:00:00,6.54,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2000-02-29T00:00:00,6.54,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2000-03-31T00:00:00,6.77,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2000-04-30T00:00:00,6.88,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2000-05-31T00:00:00,7.22,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2000-06-30T00:00:00,7.22,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2000-07-31T00:00:00,7.34,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2000-08-31T00:00:00,7.35,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2000-09-30T00:00:00,7.64,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2000-10-31T00:00:00,7.83,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2000-11-30T00:00:00,8.15,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2000-12-31T00:00:00,8.35,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2001-01-31T00:00:00,8.24,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2001-02-28T00:00:00,8.44,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2001-03-31T00:00:00,8.67,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2001-04-30T00:00:00,8.64,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2001-05-31T00:00:00,8.75,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2001-06-30T00:00:00,8.88,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2001-07-31T00:00:00,8.82,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2001-08-31T00:00:00,8.97,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2001-09-30T00:00:00,9.04,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2001-10-31T00:00:00,9.26,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2001-11-30T00:00:00,9.87,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2001-12-31T00:00:00,10.31,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2002-01-31T00:00:00,10.04,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2002-02-28T00:00:00,9.67,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2002-03-29T00:00:00,9.18,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2002-04-30T00:00:00,9.1,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2002-05-31T00:00:00,9.03,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2002-06-30T00:00:00,9.19,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2002-07-31T00:00:00,9.28,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2002-08-30T00:00:00,9.39,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2002-09-30T00:00:00,9.74,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2002-10-31T00:00:00,10.02,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2002-11-29T00:00:00,10.28,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2002-12-31T00:00:00,10.41,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2003-01-31T00:00:00,10.34,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2003-02-28T00:00:00,9.91,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2003-03-31T00:00:00,9.46,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2003-04-30T00:00:00,9.1,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2003-05-30T00:00:00,9.04,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2003-06-30T00:00:00,8.91,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2003-07-31T00:00:00,9.1,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2003-08-29T00:00:00,9.44,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2003-09-30T00:00:00,9.5,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2003-10-31T00:00:00,9.61,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2003-11-30T00:00:00,10.68,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2003-12-31T00:00:00,11.49,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2004-01-30T00:00:00,11.08,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2004-02-29T00:00:00,11.21,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2004-03-31T00:00:00,12.74,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2004-04-30T00:00:00,14.17,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2004-05-31T00:00:00,14.7,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2004-06-30T00:00:00,15.46,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2004-07-30T00:00:00,16.01,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2004-08-31T00:00:00,16.78,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2004-09-30T00:00:00,17.7,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2004-10-29T00:00:00,18.68,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2004-11-30T00:00:00,20.35,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2004-12-31T00:00:00,22.85,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2005-01-31T00:00:00,22.28,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2005-02-28T00:00:00,22.22,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2005-03-31T00:00:00,23.19,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2005-04-29T00:00:00,25.18,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2005-05-31T00:00:00,26.01,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2005-06-30T00:00:00,27.9,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2005-07-29T00:00:00,28.15,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2005-08-31T00:00:00,29.71,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2005-09-30T00:00:00,31.05,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2005-10-31T00:00:00,32.17,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2005-11-30T00:00:00,34.19,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2005-12-30T00:00:00,38.72,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2006-01-31T00:00:00,37.69,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2006-02-28T00:00:00,37.89,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2006-03-31T00:00:00,39.26,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2006-04-30T00:00:00,40.07,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2006-05-31T00:00:00,42.43,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2006-06-30T00:00:00,46.72,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2006-07-31T00:00:00,48.97,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2006-08-31T00:00:00,50.92,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2006-09-29T00:00:00,55.08,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2006-10-31T00:00:00,58.14,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2006-11-30T00:00:00,62.66,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2006-12-29T00:00:00,64.87,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2007-01-31T00:00:00,64.8,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2007-02-28T00:00:00,67.31,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2007-03-30T00:00:00,72.71,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2007-04-30T00:00:00,77.48,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2007-05-31T00:00:00,79.68,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2007-06-29T00:00:00,84.29,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2007-07-31T00:00:00,87.07,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2007-08-31T00:00:00,91.12,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2007-09-30T00:00:00,95.77,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2007-10-31T00:00:00,105.43,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2007-11-30T00:00:00,109.77,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2007-12-31T00:00:00,112.53,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2008-01-31T00:00:00,111,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2008-02-29T00:00:00,112.46,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
Venezuela,Private Sector Credit,2008-03-31T00:00:00,114.56,Monthly,VENEZUELAPRISECCRE,2019-11-20T16:47:00
