Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Retail Sales Mom,2007-02-28T00:00:00,-2,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2007-03-31T00:00:00,19,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2007-04-30T00:00:00,-16.6,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2007-05-31T00:00:00,29.8,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2007-06-30T00:00:00,-6.5,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2007-07-31T00:00:00,1.2,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2007-08-31T00:00:00,5.8,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2007-09-30T00:00:00,5.4,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2007-10-31T00:00:00,-3.3,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2007-11-30T00:00:00,24,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2007-12-31T00:00:00,8.6,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2008-01-31T00:00:00,-32,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2008-02-29T00:00:00,-2.1,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2008-03-31T00:00:00,5.3,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2008-04-30T00:00:00,2.3,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2008-05-31T00:00:00,5.2,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2008-06-30T00:00:00,-8.3,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2008-07-31T00:00:00,9.2,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2008-08-31T00:00:00,-0.3,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2008-09-30T00:00:00,0.7,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2008-10-31T00:00:00,3.5,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2008-11-30T00:00:00,4.9,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2008-12-31T00:00:00,15.7,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2009-01-31T00:00:00,-27,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2009-02-28T00:00:00,-5.7,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2009-03-31T00:00:00,12.9,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2009-04-30T00:00:00,-8,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2009-05-31T00:00:00,9.1,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2009-06-30T00:00:00,-5.4,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2009-07-31T00:00:00,7.7,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2009-08-31T00:00:00,3.5,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2009-09-30T00:00:00,-5.3,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2009-10-31T00:00:00,-0.3,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2009-11-30T00:00:00,6.8,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2009-12-31T00:00:00,18.6,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2010-01-31T00:00:00,-30.8,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2010-02-28T00:00:00,-13.1,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2010-03-31T00:00:00,4.7,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
Venezuela,Retail Sales Mom,2010-04-30T00:00:00,-6.8,Monthly,VENEZUELARETSALMOM,2019-11-20T15:59:00
