Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Retail Sales YoY,2008-01-31T00:00:00,17.9,Monthly,VenuelaRetsYoY,2019-11-20T15:47:00
Venezuela,Retail Sales YoY,2008-02-29T00:00:00,17.7,Monthly,VenuelaRetsYoY,2019-11-20T15:47:00
Venezuela,Retail Sales YoY,2008-03-31T00:00:00,4.2,Monthly,VenuelaRetsYoY,2019-11-20T15:47:00
Venezuela,Retail Sales YoY,2008-04-30T00:00:00,27.8,Monthly,VenuelaRetsYoY,2019-11-20T15:47:00
Venezuela,Retail Sales YoY,2008-05-31T00:00:00,3.6,Monthly,VenuelaRetsYoY,2019-11-20T15:47:00
Venezuela,Retail Sales YoY,2008-06-30T00:00:00,1.6,Monthly,VenuelaRetsYoY,2019-11-20T15:47:00
Venezuela,Retail Sales YoY,2008-07-31T00:00:00,9.6,Monthly,VenuelaRetsYoY,2019-11-20T15:47:00
Venezuela,Retail Sales YoY,2008-08-31T00:00:00,3.4,Monthly,VenuelaRetsYoY,2019-11-20T15:47:00
Venezuela,Retail Sales YoY,2008-09-30T00:00:00,-1.2,Monthly,VenuelaRetsYoY,2019-11-20T15:47:00
Venezuela,Retail Sales YoY,2008-10-31T00:00:00,5.8,Monthly,VenuelaRetsYoY,2019-11-20T15:47:00
Venezuela,Retail Sales YoY,2008-11-30T00:00:00,-10.5,Monthly,VenuelaRetsYoY,2019-11-20T15:47:00
Venezuela,Retail Sales YoY,2008-12-31T00:00:00,-4.6,Monthly,VenuelaRetsYoY,2019-11-20T15:47:00
Venezuela,Retail Sales YoY,2009-01-31T00:00:00,2.3,Monthly,VenuelaRetsYoY,2019-11-20T15:47:00
Venezuela,Retail Sales YoY,2009-02-28T00:00:00,-1.4,Monthly,VenuelaRetsYoY,2019-11-20T15:47:00
Venezuela,Retail Sales YoY,2009-03-31T00:00:00,5.6,Monthly,VenuelaRetsYoY,2019-11-20T15:47:00
Venezuela,Retail Sales YoY,2009-04-30T00:00:00,-5.1,Monthly,VenuelaRetsYoY,2019-11-20T15:47:00
Venezuela,Retail Sales YoY,2009-05-31T00:00:00,-1.6,Monthly,VenuelaRetsYoY,2019-11-20T15:47:00
Venezuela,Retail Sales YoY,2009-06-30T00:00:00,1.5,Monthly,VenuelaRetsYoY,2019-11-20T15:47:00
Venezuela,Retail Sales YoY,2009-07-31T00:00:00,0.2,Monthly,VenuelaRetsYoY,2019-11-20T15:47:00
