Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Social Security Rate,2004-12-31T00:00:00,23,Yearly,VENEZUELASOCSECRAT,2014-05-14T16:09:00
Venezuela,Social Security Rate,2005-12-31T00:00:00,23,Yearly,VENEZUELASOCSECRAT,2014-05-14T16:09:00
Venezuela,Social Security Rate,2006-12-31T00:00:00,23,Yearly,VENEZUELASOCSECRAT,2014-05-14T16:09:00
Venezuela,Social Security Rate,2007-12-31T00:00:00,23,Yearly,VENEZUELASOCSECRAT,2014-05-14T16:09:00
Venezuela,Social Security Rate,2008-12-31T00:00:00,23,Yearly,VENEZUELASOCSECRAT,2014-05-14T16:09:00
Venezuela,Social Security Rate,2009-12-31T00:00:00,25,Yearly,VENEZUELASOCSECRAT,2014-05-14T16:09:00
Venezuela,Social Security Rate,2010-12-31T00:00:00,25,Yearly,VENEZUELASOCSECRAT,2014-05-14T16:09:00
Venezuela,Social Security Rate,2011-12-31T00:00:00,25,Yearly,VENEZUELASOCSECRAT,2014-05-14T16:10:00
Venezuela,Social Security Rate,2012-12-31T00:00:00,25,Yearly,VENEZUELASOCSECRAT,2014-05-14T16:10:00
Venezuela,Social Security Rate,2013-12-31T00:00:00,25,Yearly,VENEZUELASOCSECRAT,2014-05-14T16:10:00
Venezuela,Social Security Rate,2014-12-31T00:00:00,25,Yearly,VENEZUELASOCSECRAT,2014-05-14T16:10:00
Venezuela,Social Security Rate,2015-12-31T00:00:00,25,Yearly,VENEZUELASOCSECRAT,2015-05-11T13:22:00
Venezuela,Social Security Rate,2016-12-31T00:00:00,25,Yearly,VENEZUELASOCSECRAT,2017-01-11T18:20:00
Venezuela,Social Security Rate,2017-12-31T00:00:00,24.5,Yearly,VENEZUELASOCSECRAT,2018-02-14T14:44:00
Venezuela,Social Security Rate,2018-12-31T00:00:00,24.5,Yearly,VENEZUELASOCSECRAT,2018-02-14T14:44:00
Venezuela,Social Security Rate,2019-12-31T00:00:00,24.5,Yearly,VENEZUELASOCSECRAT,2020-05-19T11:58:00
Venezuela,Social Security Rate,2020-12-31T00:00:00,24.5,Yearly,VENEZUELASOCSECRAT,2021-05-21T14:05:00
Venezuela,Social Security Rate,2021-12-31T00:00:00,23,Yearly,VENEZUELASOCSECRAT,2021-08-18T12:49:00
