Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Social Security Rate For Employees,2004-12-31T00:00:00,6,Yearly,VENEZUELASOCSECRATFC,2014-05-14T16:16:00
Venezuela,Social Security Rate For Employees,2005-12-31T00:00:00,6,Yearly,VENEZUELASOCSECRATFC,2014-05-14T16:16:00
Venezuela,Social Security Rate For Employees,2006-12-31T00:00:00,6,Yearly,VENEZUELASOCSECRATFC,2014-05-14T16:16:00
Venezuela,Social Security Rate For Employees,2007-12-31T00:00:00,6,Yearly,VENEZUELASOCSECRATFC,2014-05-14T16:16:00
Venezuela,Social Security Rate For Employees,2008-12-31T00:00:00,6,Yearly,VENEZUELASOCSECRATFC,2014-05-14T16:16:00
Venezuela,Social Security Rate For Employees,2009-12-31T00:00:00,6,Yearly,VENEZUELASOCSECRATFC,2014-05-14T16:16:00
Venezuela,Social Security Rate For Employees,2010-12-31T00:00:00,6,Yearly,VENEZUELASOCSECRATFC,2014-05-14T16:16:00
Venezuela,Social Security Rate For Employees,2011-12-31T00:00:00,6,Yearly,VENEZUELASOCSECRATFC,2014-05-14T16:16:00
Venezuela,Social Security Rate For Employees,2012-12-31T00:00:00,6,Yearly,VENEZUELASOCSECRATFC,2014-05-14T16:16:00
Venezuela,Social Security Rate For Employees,2013-12-31T00:00:00,6,Yearly,VENEZUELASOCSECRATFC,2014-05-14T16:16:00
Venezuela,Social Security Rate For Employees,2014-12-31T00:00:00,6,Yearly,VENEZUELASOCSECRATFC,2014-05-14T16:16:00
Venezuela,Social Security Rate For Employees,2015-12-31T00:00:00,6,Yearly,VENEZUELASOCSECRATFC,2015-05-11T13:22:00
Venezuela,Social Security Rate For Employees,2016-12-31T00:00:00,6,Yearly,VENEZUELASOCSECRATFC,2016-12-05T18:17:00
Venezuela,Social Security Rate For Employees,2017-12-31T00:00:00,5.5,Yearly,VENEZUELASOCSECRATFC,2018-02-13T15:57:00
Venezuela,Social Security Rate For Employees,2018-12-31T00:00:00,5.5,Yearly,VENEZUELASOCSECRATFC,2018-02-13T15:57:00
Venezuela,Social Security Rate For Employees,2019-12-31T00:00:00,5.5,Yearly,VENEZUELASOCSECRATFC,2020-05-19T11:57:00
Venezuela,Social Security Rate For Employees,2020-12-31T00:00:00,5.5,Yearly,VENEZUELASOCSECRATFC,2021-05-21T14:05:00
Venezuela,Social Security Rate For Employees,2021-12-31T00:00:00,6,Yearly,VENEZUELASOCSECRATFC,2021-08-18T12:49:00
