Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Stock Market,1993-12-31T00:00:00,0.001,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-03T00:00:00,0.001,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-04T00:00:00,0.001,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-05T00:00:00,0.0011,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-06T00:00:00,0.001,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-07T00:00:00,0.0011,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-11T00:00:00,0.001,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-12T00:00:00,0.0011,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-13T00:00:00,0.001,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-14T00:00:00,0.001,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-17T00:00:00,0.001,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-18T00:00:00,0.001,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-19T00:00:00,0.001,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-20T00:00:00,0.001,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-21T00:00:00,0.001,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-24T00:00:00,0.001,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-25T00:00:00,0.001,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-26T00:00:00,0.001,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-27T00:00:00,0.001,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-28T00:00:00,0.001,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-01-31T00:00:00,0.001,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-02-01T00:00:00,0.001,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-02-02T00:00:00,0.0011,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-02-03T00:00:00,0.0012,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-02-04T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-02-07T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-02-08T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-02-09T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-02-10T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-02-11T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-02-16T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-02-17T00:00:00,0.0014,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-02-18T00:00:00,0.0014,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-02-21T00:00:00,0.0014,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-02-22T00:00:00,0.0014,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-02-23T00:00:00,0.0014,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-02-24T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-02-25T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-02-28T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-01T00:00:00,0.0014,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-02T00:00:00,0.0014,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-03T00:00:00,0.0014,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-04T00:00:00,0.0014,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-07T00:00:00,0.0014,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-08T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-09T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-10T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-11T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-14T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-15T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-16T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-17T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-18T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-21T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-22T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-23T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-24T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-25T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-28T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-29T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-03-30T00:00:00,0.0013,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-04-04T00:00:00,0.0012,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-04-05T00:00:00,0.0012,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-04-06T00:00:00,0.0012,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-04-07T00:00:00,0.0012,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-04-08T00:00:00,0.0012,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-04-11T00:00:00,0.0012,Daily,IBVC,2021-11-23T10:55:44.953
Venezuela,Stock Market,1994-04-12T00:00:00,0.0012,Daily,IBVC,2021-11-23T10:55:44.953
