Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Terrorism Index,2002-12-31T00:00:00,2.5,Yearly,VenezuelaTerInd,2015-11-24T19:02:00
Venezuela,Terrorism Index,2003-12-31T00:00:00,3.12,Yearly,VenezuelaTerInd,2015-11-24T19:02:00
Venezuela,Terrorism Index,2004-12-31T00:00:00,2.47,Yearly,VenezuelaTerInd,2015-11-24T19:02:00
Venezuela,Terrorism Index,2005-12-31T00:00:00,1.79,Yearly,VenezuelaTerInd,2015-11-24T19:02:00
Venezuela,Terrorism Index,2006-12-31T00:00:00,1.08,Yearly,VenezuelaTerInd,2015-11-24T19:02:00
Venezuela,Terrorism Index,2007-12-31T00:00:00,1.25,Yearly,VenezuelaTerInd,2015-11-24T19:02:00
Venezuela,Terrorism Index,2008-12-31T00:00:00,1.12,Yearly,VenezuelaTerInd,2015-11-24T19:02:00
Venezuela,Terrorism Index,2009-12-31T00:00:00,3.05,Yearly,VenezuelaTerInd,2015-11-24T19:02:00
Venezuela,Terrorism Index,2010-12-31T00:00:00,2.38,Yearly,VenezuelaTerInd,2015-11-24T19:02:00
Venezuela,Terrorism Index,2011-12-31T00:00:00,1.71,Yearly,VenezuelaTerInd,2015-11-24T19:02:00
Venezuela,Terrorism Index,2012-12-31T00:00:00,1.31,Yearly,VenezuelaTerInd,2015-11-24T19:02:00
Venezuela,Terrorism Index,2013-12-31T00:00:00,0.63,Yearly,VenezuelaTerInd,2015-11-24T19:02:00
Venezuela,Terrorism Index,2014-12-31T00:00:00,2.14,Yearly,VenezuelaTerInd,2015-11-24T19:02:00
Venezuela,Terrorism Index,2015-12-31T00:00:00,2,Yearly,VenezuelaTerInd,2016-11-17T17:12:00
Venezuela,Terrorism Index,2016-12-31T00:00:00,3.63,Yearly,VenezuelaTerInd,2017-11-22T16:26:00
Venezuela,Terrorism Index,2017-12-31T00:00:00,3.67,Yearly,VenezuelaTerInd,2019-02-11T17:48:00
Venezuela,Terrorism Index,2018-12-31T00:00:00,4.1,Yearly,VenezuelaTerInd,2019-11-20T17:43:00
Venezuela,Terrorism Index,2019-12-31T00:00:00,3.66,Yearly,VenezuelaTerInd,2020-12-28T10:46:00
