Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Unemployed Persons,1999-01-31T00:00:00,1731182,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,1999-02-28T00:00:00,1542689,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,1999-03-31T00:00:00,1488056,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,1999-04-30T00:00:00,1531482,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,1999-05-31T00:00:00,1464792,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,1999-06-30T00:00:00,1515589,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,1999-07-31T00:00:00,1504449,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,1999-08-31T00:00:00,1540752,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,1999-09-30T00:00:00,1630449,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,1999-10-31T00:00:00,1585291,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,1999-11-30T00:00:00,1206372,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,1999-12-31T00:00:00,1063081,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2000-01-31T00:00:00,1614558,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2000-02-29T00:00:00,1618385,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2000-03-31T00:00:00,1504998,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2000-04-30T00:00:00,1507119,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2000-05-31T00:00:00,1406377,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2000-06-30T00:00:00,1521750,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2000-07-31T00:00:00,1496009,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2000-08-31T00:00:00,1475415,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2000-09-30T00:00:00,1352687,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2000-10-31T00:00:00,1413358,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2000-11-30T00:00:00,1254646,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2000-12-31T00:00:00,1074918,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2001-01-31T00:00:00,1648011,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2001-02-28T00:00:00,1481976,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2001-03-31T00:00:00,1427155,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2001-04-30T00:00:00,1520835,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2001-05-31T00:00:00,1420385,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2001-06-30T00:00:00,1460436,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2001-07-31T00:00:00,1408069,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2001-08-31T00:00:00,1541884,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2001-09-30T00:00:00,1502284,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2001-10-31T00:00:00,1450572,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2001-11-30T00:00:00,1285264,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2001-12-31T00:00:00,1231625,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2002-01-31T00:00:00,1843888,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2002-02-28T00:00:00,1710643,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2002-03-31T00:00:00,1705481,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2002-04-30T00:00:00,1816289,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2002-05-31T00:00:00,1745140,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2002-06-30T00:00:00,1853413,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2002-07-31T00:00:00,1896861,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2002-08-31T00:00:00,1880032,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2002-09-30T00:00:00,1966296,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2002-10-31T00:00:00,1956119,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
Venezuela,Unemployed Persons,2002-11-30T00:00:00,1852736,Monthly,VENEZUELAUNEPER,2012-09-29T03:23:00
