Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Venezuela,Unemployment Rate,1999-01-31T00:00:00,16.6,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,1999-02-28T00:00:00,15.2,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,1999-03-31T00:00:00,14.6,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,1999-04-30T00:00:00,14.6,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,1999-05-31T00:00:00,14.6,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,1999-06-30T00:00:00,15,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,1999-07-31T00:00:00,14.7,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,1999-08-31T00:00:00,15,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,1999-09-30T00:00:00,16.1,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,1999-10-31T00:00:00,15.3,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,1999-11-30T00:00:00,12,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,1999-12-31T00:00:00,10.6,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2000-01-31T00:00:00,15.8,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2000-02-29T00:00:00,16,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2000-03-31T00:00:00,15,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2000-04-30T00:00:00,14.7,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2000-05-31T00:00:00,13.8,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2000-06-30T00:00:00,14.8,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2000-07-31T00:00:00,14.7,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2000-08-31T00:00:00,14.3,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2000-09-30T00:00:00,13,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2000-10-31T00:00:00,14,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2000-11-30T00:00:00,12,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2000-12-31T00:00:00,10,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2001-01-31T00:00:00,15.8,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2001-02-28T00:00:00,14.2,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2001-03-31T00:00:00,13.7,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2001-04-30T00:00:00,14.5,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2001-05-31T00:00:00,13.1,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2001-06-30T00:00:00,13.3,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2001-07-31T00:00:00,12.8,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2001-08-31T00:00:00,13.9,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2001-09-30T00:00:00,13.5,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2001-10-31T00:00:00,13,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2001-11-30T00:00:00,11.5,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2001-12-31T00:00:00,11,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2002-01-31T00:00:00,16.4,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2002-02-28T00:00:00,15,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2002-03-31T00:00:00,15.1,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2002-04-30T00:00:00,15.9,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2002-05-31T00:00:00,15.3,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2002-06-30T00:00:00,16.2,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2002-07-31T00:00:00,16.4,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2002-08-31T00:00:00,16.2,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2002-09-30T00:00:00,17,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2002-10-31T00:00:00,16.6,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2002-11-30T00:00:00,15.7,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2003-02-28T00:00:00,20.7,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2003-03-31T00:00:00,19.8,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2003-04-30T00:00:00,19.1,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2003-05-31T00:00:00,19.2,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2003-06-30T00:00:00,18.4,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2003-07-31T00:00:00,18.3,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2003-08-31T00:00:00,17.8,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2003-09-30T00:00:00,18,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2003-10-31T00:00:00,16.7,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2003-11-30T00:00:00,15.4,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2003-12-31T00:00:00,14.6,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2004-01-31T00:00:00,19.1,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2004-02-29T00:00:00,17.1,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2004-03-31T00:00:00,15.6,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2004-04-30T00:00:00,16.3,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2004-05-31T00:00:00,15.8,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2004-06-30T00:00:00,15.5,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2004-07-31T00:00:00,15.3,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2004-08-31T00:00:00,14.2,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2004-09-30T00:00:00,14.5,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2004-10-31T00:00:00,13.7,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2004-11-30T00:00:00,12.8,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2004-12-31T00:00:00,10.9,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2005-01-31T00:00:00,15.5,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2005-02-28T00:00:00,14,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2005-03-31T00:00:00,13.5,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2005-04-30T00:00:00,12.1,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2005-05-31T00:00:00,12.6,Monthly,VNUEMTHY,2013-03-22T13:43:00
Venezuela,Unemployment Rate,2005-06-30T00:00:00,11.8,Monthly,VNUEMTHY,2013-03-22T13:43:00
